blunt	钝
Greenland	格陵兰
Chad	乍得
Ali	阿里
periphery	外围
experimental	实验的
zing	子弹声
thorn	刺
evolve	演
honey	蜂蜜
talent	才能
airstrip	飞机跑道
interrogator	讯问者
sodden	渍
teak	柚木
absquatulate	逃走
coherent	连贯的
dissonance	不调和
teeter-totter	跷跷板
Fertile Crescent	新月沃土
syphilis	梅毒
thrice	三倍
process	过程
incur	罹
gudgeon	白杨鱼
confounded	讨厌的
man-eater	食人者
calf	小牛
full-size	全尺寸
immovable	固定的
necktie	领带
sine qua non	必要条件
proboscis	吻
sailplane	高性能滑翔机
subthalamus	丘脑底部
rowboat	划艇
Laptev Sea	拉普捷夫海
Nijmegen	奈梅亨
contradistinction	对比
grass skirt	草裙
Sardinia	萨丁岛
jargon	行话
type	类
banquet	筵
keep up	不低落
sledge	雪橇
multifaceted	多层面的
Balkanize	分割成小国
Lachesis	主宰人类寿命的女神
disgruntled	不满的
embassy	大使馆
fiver	五镑钞票
linebacker	后卫球员
self-respecting	有自尊心的
aeration	充气
carnivore	食肉动物
hymen	处女膜
jubilation	庆祝
walk around	踅
enormity	暴行
oft	再三
bound	界
computer program	计算机程序
exabyte	百亿亿字节
invalid	无效的
mental health	心理健康
personal	私
Alabama	阿拉巴马州
fusty	旧式的
biofeedback	生物反馈
hooked	钩状的
panicky	恐慌的
taka	塔卡
Shrove Tuesday	忏悔星期二
Nicene Creed	尼西亚信经
Common Market	共同市场
do the dishes	洗碗
washrag	毛巾
meat safe	食品橱
ever	曾
mahogany	桃花心木
mark	标记
washer	洗衣机
nodular	小节的
aggressor	侵略者
persuade	说服
unfortunate	不幸的
surrender	投降
sentience	知觉
oxygen	氧
Oscan	欧斯干人
cozy	舒适的
sporty	运动员
calcination	锻烧
round out	舍入
Bengal tiger	孟加拉虎
somnambulism	梦游症
generalisation	要
maths	数学
meditate	沉思
anchor	锚
albumin	白蛋白
enrichment	丰富
align	對齊
indicator	指示器
friendly fire	友军炮火
mefenamic acid	甲灭酸
pneumothorax	气胸
trilogy	三部曲
pariah	贱民
ultimatum	最后通牒
flycatcher	捕蝇器
null set	空集
front yard	前院
nostril	鼻孔
fire hose	消防水龙
anticholinergic	反副交感神经生理作用的
Doric	多利安式
Orangeman	奥兰治党员
Qatar	卡塔尔
pay	付
furious	狂怒的
imperium	绝对权
lyre	七弦琴
sinew	腱
breathalyzer	酒精测定器
Whitsun	降灵节的
gassy	气体的
biochemical	生物化学的
obtrusive	强迫人的
spirograph	呼吸运动记录器
toadflax	云兰属植物
denazification	非纳粹化
police state	警察国家
crystal set	矿石收音机
half-mast	半旗
bragger	吹牛
double indemnity	双倍赔偿
colorize	彩色化
information	信息
pregnancy	怀孕
come off	脱落
Apollo	阿波罗
attenuate	减弱
boll	圆荚
electroencephalogram	脑电图
endonuclease	内切核酸酶
popliteal	腿弯部的
great-uncle	伯祖父
butene	丁烯
Staten Island	史泰登岛
hybrid vigor	杂种优势
chromosome	染色体
coat hanger	衣架
angle of attack	迎角
Saul	撒乌耳
Vesuvius	维苏威
sensuality	淫荡
preside	主持
dismiss	黜
approbation	嘉许
Calabria	卡拉不里亚
nickel	镍
Hebrew	希伯来语
acrocyanosis	手足发绀
annoyance	烦恼
artifact	人工制品
imaginative	想象的
intoxicate	使醉
undersecretary	次长
sprocket	链轮齿
Incan	印加人
mechanics	力学
Stradivarius	弦乐器
Andorran	安道尔人
ogress	食人女妖
palatal	上腭音
examiner	检查员
nominalist	唯名论
grocer	杂货商
relationship	关系
unhealthy	不健康的
breach	缺口
cull	淘汰
extinguisher	熄灭者
mathematically	算术地
millennium	千年
El Alamein	阿莱曼
basketball player	篮球运动员
doorknob	门把手
Uranus	天王星
pleural cavity	胸膜腔
cello	大提琴
aphonia	失声
hydrophyte	水生植物
North African	北非的
sex organ	性器官
reconstruct	重建
commander	指挥官
furnace	炉
whale	鲸鱼
unclear	䀟
division	部
mingle	混
oak	橡树
guinea fowl	珍珠鸡
elm	榆树
cocoa	可可
conscience	良心
distract	分心
hectolitre	一百公升
valiantly	勇猛地
pleonasm	冗言
evacuation	搬空
bassist	低音歌手
air-dry	晾
mash	砸
trust	信任
buildup	组织
oral	口头
notepaper	信纸
smiley	笑脸
adrenal cortex	肾上腺皮质
Malayalam	马拉雅拉姆语
WTO	世界贸易组织
renegade	变节者
odorous	芬芳的
banjo	班卓琴
hypertonic	高渗
pernicious	有害
carbon dioxide	二氧化碳
depopulate	人口减少
get even	算帐
purportedly	据称
promptness	机敏
ouguiya	乌吉亚
Federated States of Micronesia	密克罗尼西亚联邦
Stockholm	斯德哥尔摩
respiration	呼吸作用
gob	凝块
behaviour	行为
cumulate	堆积的
relent	变宽厚
downsizing	小型化
geodesy	测地学
sinkhole	排水口
stingray	黄貂鱼
overdraw	透支
breezily	吹微风地
cryptanalysis	密码分析
stretcher	担架
neuroendocrine	神经内分泌的
sonnet	十四行诗
voting system	投票制度
naturalization	入籍
Romance language	罗曼语
Tamil	泰米尔语
banknote	钞票
delude	诳
pseudoephedrine	伪麻黄碱
hydrolysis	水解
chap	家伙
figuratively	比喻地
flier	飞行者
hugely	巨大地
supersonic	超音速
lodestar	指导原理
annulus	体环
tarantula	狼蛛
womanly	㛪
zoophyte	植虫类
Poisson distribution	泊松分布
rheumatoid arthritis	类风湿性关节炎
aquavit	白兰地
goethite	针铁矿
enteropathy	肠病
split	裂
again	再
coop up	压缩
catch	捕
tough	暋
diopter	屈光度
wholesaler	批发商
cable	电缆
stylish	时髦的
irritable	悁
congener	同种的物
choroid	脉络膜
initialize	初始化
thereabout	在那附近
sequin	金光闪烁
Mont Blanc	勃朗峰
sword	剑
foot brake	脚制动器
Muharram	穆哈兰姆月
autotypy	碳印法
proof	证据
impact	影响
venture	敢
hematoma	血肿
bloodiness	残酷
mulct	罚金
allusion	提及
metal detector	金属探测器
Tswana	茨瓦纳语
Arabist	阿拉伯学者
clubbing	拖锚
collective	集体
cockade	帽章
nigger	黑鬼
shire	郡
dad	爸爸
Slavic	斯拉夫
inclined plane	斜面
ophthalmology	眼科学
sorting algorithm	分类算法
at once	马上
proletarian	无产者
overhead	高架的
mosquito net	蚊帐
quantifier	量词
worldwide	全球
New York City	纽约
helmet	盔
collegiate	学院的
blueberry	蓝莓
fertile	沃
pleasingly	高兴地
oast	干烘炉
physicist	物理学家
M-theory	M理论
nostrum	妙方
watering can	喷壶
great power	㔙
dynamo	发电机
snorer	打鼾者
Kiribati	基里巴斯
Karachi	卡拉奇
job	工作
Aboriginal	土人
portal	入口
bard	吟游诗人
demonstrate	示
Middle English	中古英语
Santa Fe	圣菲
accountancy	会计师之职
apologetically	辩解地
boathouse	船库
malformed	畸形的
disobedient	屰
weightlessness	无重状态
Horn of Africa	非洲之角
flu	流行性感冒
theologist	神学家
bronchodilator	支气管扩张器
thalamocortical	丘脑皮质的
duplex	双工
decree	法令
ply	厚度
anniversary	周年
nursery rhyme	儿歌
liquidate	偿付
glasshouse	温室
imp	恶魔
blaze	火焰
sycamore	悬铃木
anthropological	人类学的
carnelian	红玛瑙
transom	横梁
geocentric	以地球为中心的
high-pressure	高压的
water vapor	水汽
neurosyphilis	神经梅毒
surveying	勘测
estrogen	雌激素
wing nut	蝶形螺母
disdain	蔑
decide	决
multiply	乘
wonderland	仙境
wag	摇摆
instant coffee	速溶咖啡
message	讯息
oval	椑
corresponding	对应
audiology	听觉学
electioneering	竞选活动
cinnabar	朱
mismatch	不匹配
monovular	单卵性的
censorship	检查
loan translation	借译
memorize	记住
rock pigeon	野鸽
Hargeisa	哈尔格萨
arbitrary	任意
domination	管辖
squab	垫子
blood count	血细胞计数
cardiograph	心动描记器
conformist	遵奉者
colchicine	秋水仙碱
figment	虚构的事
ischemia	缺血
nonagenarian	九十多岁的
plumbing	铅工业
speleologist	洞穴学者
Archimedes	阿基米德
situation comedy	情景喜剧
polar bear	北极熊
disc brake	盘式制动器
autodidactic	自学者的
virtually	实质上
boot	靴子
twilight	黄昏
cut off	割
impala	黑斑羚
Swiss	瑞士人
weekly	周刊
causal	原因的
plush	长毛绒
sparsely	稀疏地
scalene muscle	斜角肌
vibist	铁琴演奏家
xylose	木糖
national park	国家公园
won	圆
Islam	伊斯兰教
self-sufficiency	自给自足
sweat gland	汗腺
pseudocyesis	假孕
catatonic	紧张性精神症患者
barn swallow	家燕
determine	决
dumbbell	哑铃
filthy	薶
trance	着迷
iambic	短长格
jaw	颌
grieve	悼
joy	僖
Kannada	卡纳达语
Juno	婚神星
comeback	恢复
wind instrument	管乐器
Hades	地狱
unconsciousness	人事不省
northwest by north	西北微北
write down	写下
demiurge	造物主
icosahedron	二十面体
brigade	旅
sit around	无所事事
swing	秋千
pinto	黑白斑纹的
quicken	加快
weather	天气
rickety	不牢
candle	蜡烛
mediator	调解人
bicolour	二色的
ensiform	剑形的
excellently	最优地
reverence	畏
scandal	丑事
telephone number	电话号码
mute swan	疣鼻天鹅
watchfulness	警觉
doorbell	门铃
coven	女巫大聚会
Rawalpindi	拉瓦尔品第
Gambian	冈比亚的
roughly	差不多
habitation	住所
ecology	生态学
mince	剁
sharpshooter	神枪手
stagflation	停滞性通货膨胀
alluring	诱惑的
neptunium	镎
ambiguously	含糊不清地
prank	恶作剧
silversmith	银色匠
penalty	惩罚
sixteenth	第十六
underpants	内裤
UFO	不明飞行物
expropriate	没收
erg	尔格
C clef	中音谱号
central	中央的
Cape of Good Hope	好望角
Sea of Azov	亚速海
Oran	奥兰
take notice	注意
tame	驯服
Cepheus	仙王座
tax haven	避税港
stolid	神经麻木的
stagnation	停滞
endow	赋
livable	适于居住的
overfill	装得太多
willet	鹞类
fish bowl	鱼缸
sixth sense	第六感
chlorophyte	绿色植物
snowshoe hare	美洲雪鞋兔
lemon meringue pie	柠檬蛋白派
Republic of Albania	阿尔巴尼亚
gaze	盯
flog	鞭打
correctness	正确性
shame	羞
asperse	中伤
Auvergne	奥弗涅
expletive	呒
geographically	地理学上
lido	海滨浴场
monarchism	君主主义
Frisbee	飞盘
berkelium	锫
egg yolk	蛋黄
prophase	前期
psoriasis	牛皮癣
bowtie	蝴蝶结
koan	公案
Cartesian product	笛卡尔乘积
scab	痂
everyday	日常的
cerumen	耳垢
tent	帐篷
let	让
angry	生气
serology	血清学
hulk	废船
afield	在田野
flashcard	抽认卡
white wine	醝
percent	百分之
disorient	使失去方向感
inapplicable	不适用的
thermosphere	热层
Ali Baba	阿里巴巴
blackberry	黑莓
crystallization	结晶
bran	麸
Kingdom of Norway	挪威王国
nerve	神经
dynasty	朝代
aqua regia	王水
affirmation	肯定
desire	欲
cycle	周期
big sister	姐姐
usually	通常
Agamemnon	阿伽门农
detergent	洗涤剂
chorister	唱诗班歌手
eruption	爆发
eatery	小饭馆
materialistic	唯物论的
lobbyist	活动议案通过者
oxtail	牛尾
eider	绒鸭
Pakistan	巴基斯坦
wall	墙
reckon	算
usury	高利贷
technetium	锝
battered	弄垮的
appealable	可上诉的
assonant	类韵的
barracuda	梭鱼类
irreproachable	无过失的
digitalize	数字化
escalator	自动扶梯
evocative	唤出的
illusion	幻想
ochlocracy	暴民政治
somnambulist	梦行者
cadge	行乞
cornflower	矢车菊
dehisce	张口
suddenly	突然
freedom	自由
choke	噎
traction	牵引
brown	褐色
ligneous	木质的
analysand	接受精神分析的人
asynchronous	异步的
frankly	坦白地
reinforced concrete	钢筋混凝土
mental	心智的
kestrel	一种鹰
prefab	预制的
ultracentrifuge	超速离心机
nyala	尼亚拉
Avicenna	阿维森纳
flash point	闪点
mobilisation	动员
caesura	休止
antimuon	反μ介子
New England	新英格兰
Puerto Rican	波多黎各人
basidium	担子
modern	新
brittle	脆
indeterminate	不定
backwash	反响
racily	爽快地
bogey	妖怪
condolence	吊唁
doctoral	博士的
hypochondriasis	臆想症
patriarchal	家长的
pompon	彩球
schoolboy	男学生
urinal	便池
cooling tower	冷却塔
attorney general	司法部长
molehill	鼹鼠丘
thyroid cartilage	甲状软骨
down	下
come up	来
lung	肺
press	压
disciple	弟子
dot	点
fantastic	奇妙
massive	厚重的
sight	瞄准
powder	粉
aqueous	水的
gooseberry	醋栗
Boreas	北风
greenness	绿色
separatist	分离主义者
transonic	接近音速的
virtuosity	爱好古董
Schiller	席勒
posterity	裔
osteomyelitis	骨髓炎
unambiguously	明白地
flooring	地板材料
border	边境
visit	访问
coition	性交
Pentagon	五角大楼
navy	海军
thorn apple	曼陀曼
giant squid	茎柔鱼
Baltic	波罗的海的
concern	眷
downstairs	楼下
narcolepsy	嗜眠发作
sommelier	斟酒服务员
spondaic	扬扬格的
bullet train	新干线
phobia	恐惧症
pseudoscientific	伪科学
loofah	丝瓜
Incheon	仁川
disunity	不统一
cultivate	耕种
main course	主菜
historical	历史的
commit	犯
make out	看得见
quiz	测验
pen	笔
abstruse	迂
NNW	北北西
stertorous	打鼾的
Catalonia	加泰罗尼亚
Thermidor	热月
Saint Lucia	圣卢西亚
Apostle	传教士
lignin	木质素
raw material	原料
Omani	阿曼的
Kansas	堪萨斯州
sultan	苏丹
bright	亮
sly	狡猾
lordship	贵族身份
regard	䀐
magnetosphere	磁气圈
buffer	缓冲区
speckled trout	溪红点鲑
augmentation	增大
captivate	迷住
refrigerate	冷藏
IED	简易爆炸装置
frying pan	煎锅
armoured car	装甲车
botanist	植物学家
fanny	臀部
smoking car	吸烟车厢
steelmaker	炼钢工人
Kazan	喀山
Montreal	蒙特利尔
moment	瞬间
outside	外面
New York	纽约
blue	蓝
mantle	地幔
enlarge	扩
federalize	使成联邦
gigolo	舞男
garfish	长嘴硬鳞鱼
prune	修
ocelot	豹猫
tailgate	后挡板
Minneapolis	明尼阿波利斯
oxidoreductase	氧化还原酶
one after another	纷纷
oxidase	氧化酶
auscultation	听诊
Lydian	吕底亚语
smother	浓烟
detention	拘留
tooth	牙齿
Mysore	迈索尔
quicksilver	水银
volcanic	火山的
serried	密集的
curious	好奇
sludge	污泥
futuristic	未来派的
Luxembourger	卢森堡人
napalm	凝固汽油弹
ribonuclease	核糖核酸酶
seismological	地震学上的
Orion	猎户座
cement mixer	混凝土搅拌车
radian	弧度
cremate	火葬
vibrato	颤音
closed-end fund	限额基金
craft	船
left-hander	左撇子
break up	散
burdensome	繁重的
mailing list	邮寄名单
terrorise	令人恐怖
Kurdish	库尔德语
inflation	通货膨胀
Mesozoic	中生代
hyperbolic	双曲线的
tensile	张力的
delinquency	行为不良
absolutistic	极权主义的
daughter-in-law	媳妇
automated teller machine	自动柜员机
yoga	瑜伽
common chickweed	繁缕
uropathy	尿路病
de rigueur	社交礼节上需要的
Lausanne	洛桑
stock	股票
soil	土
expectorate	吐痰
meager	瘦
expert	专家
glycerine	甘油
hara-kiri	切腹
crossbow	弩
pulchritudinous	美丽
leather	皮革
telencephalon	端脑
tissue paper	棉纸
confutation	驳倒
gold medal	金牌
liberation	解放
phoneme	音素
fourthly	第四
water dog	水犬
quadrumvirate	有四人之一组
Myanmar	缅甸
get	得
good	好
dishonour	辱
entry	入口
whiting	白粉
twinkle	㸌
identity theft	身分偷窃
hornbeam	鹅耳枥属
delineate	描写
atmospheric	大气的
vicious circle	恶性循环
lancet	鎞
toilet paper	卫生纸
shrimp	虾
credit crunch	信用恐慌
Lammas	圣彼得逃脱日
Middle Low German	中古低地德语
land	土地
turn	转
matter	事
aster	紫菀
newly	最近
heavy water	重水
conditional	有条件的
white mulberry	桑
Muslim	穆斯林
intestinal	肠的
accessibility	易接近
martingale	支索
hysterics	歇斯底里爆发
muslin	一种薄细的棉布
onomastics	语原论
royalist	保皇党员
plait	辫子
abruptness	突然
Pole	波兰人
aeronautics	航空学
correspondence	通信
machinery	结构
pass through	透
nucleus	核
cushion	垫子
barrel	桶
fifth	第五
imitate	模仿
animadvert	非难
inward	里面
unfair	不公平
spirogyra	水棉属的绿藻类
singularity	奇异
abhor	痛恨
partial derivative	偏导数
search engine	搜索引擎
Treasury	国库
middle age	中年
deference	顺从
penury	贫困
over and over	反复
reputation	名誉
sector	扇形
programmer	程序员
diagonal	对角线
douse	泼洒
downbeat	强拍
photojournalism	摄影报道
quadruplet	四组
pug-nosed	狮子鼻的
zircon	锆石
acetone	丙酮
countess	伯爵夫人
pavane	其舞曲
carnivorous plant	食肉植物
belabour	致力于
overture	提议
sacrum	骶骨
crockery	陶器
aponeurosis	腱膜
fever	发烧
fear	害怕
diorama	透视画
accommodation	膳宿
young man	小伙子
angelica	芷
dejected	懊丧
tasting	品尝
alkene	烯
arcane	神秘的
aboveground	在地上
apprenticeship	学徒期
anthrax	炭疽
commiserative	怜悯的
digestive	消化的
sports car	跑车
elicit	引出
Acts	使徒行传
waterway	水路
Friesland	弗里斯兰
East Germany	东德
man-at-arms	士兵
triumph	捷
sublimation	升华
pseudonym	假名
immemorial	极古的
gross national product	国民生产总值
lumbago	腰痛
musicality	音感
irritability	兴奋性
subsection	小部分
immolate	供奉牲礼
oblation	供奉
parfait	冻糕
cubic metre	立方米
NASA	美国国家航空航天局
sweatshirt	运动衫
ovenbird	灶巢鸟
Rwandan	卢旺达的
shield	盾
autochthonous	本土的
punch	打
yap	狂吠
recovery	恢复
sex appeal	性感
childishness	童心
exit	出口
palsy	麻痹
launder	洗
thunder	雷
nuclear power	核动力
roulette	轮盘赌
banyan	榕树
thiamine	硫胺
newborn	新生儿
ticklish	怕老婆
disconcerting	令人不安的
gambrel	踝关节
folk etymology	俗词源学
effigy	雕像
smash	砸
extraction	萃取
conjunctiva	结膜
comprise	包含
might	威
CD	光盘
brigantine	双桅帆船
ampoule	安瓿
toroid	环形线
equestrian	骑马的
ewer	大口水罐
mendelevium	钔
sackful	满袋
trisyllable	三音节的字
exclamation	叫喊
apple pie	苹果派
due process	正当法律程序
rood screen	圣坛屏
dunce cap	导流帽
calender	砑
hangover	宿醉
wine	酒
reword	重述
digest	消化
promethium	钷
punishment	刑
green light	绿灯
accompaniment	伴奏
batiste	薄织的麻布
celebration	庆祝
dacite	英安岩
diplomatic	外交的
squeeze out	挤出
fusible	可熔的
uninhabited	无人居住的
hexane	己烷
watermelon	西瓜
kettle hole	壶穴
accredit	信任
afford	提供
standing committee	常务委员会
tarragon	狭叶青蒿
Swiss chard	叶用甜菜
hypermarket	大规模超级市场
audacious	悍
avens	水杨酶属植物
baccalaureate	学士学位
baptised	施行洗礼
dubious	可疑的
digestible	可消化的
saccharify	糖化
copywriter	广告撰稿人
racetrack	跑道
legation	公使馆
Illyria	伊利里亚
administrate	支配
Xinjiang	新疆
Alps	阿尔卑斯山
Nalchik	纳尔奇克
denier	否认者
vineyard	葡萄园
neutron bomb	中子弹
prisoner	囚犯
multipurpose	多用途
oil palm	油棕榈
telex	电传
adventurous	喜欢冒险的
bezant	各种金
lifeguard	救生员
improvement	改善
pep talk	鼓励话
sitcom	情景喜剧
lineament	容貌
overheat	过热
major scale	大音阶
withdrawal symptom	退瘾症状
smoke	烟
passion	激情
notion	概念
plus	加
punish	惩罚
colonialism	殖民主义
opportunism	机会主义
unearth	发掘
terrorize	恐吓
optic chiasm	视交叉
chaos	混乱
churl	下贱的人
curable	可医治的
pantheistic	泛神论的
machine translation	机器翻译
pennilessness	缺钱
bicycle rack	自行车架
peptide bond	肽键
vitreous humor	玻璃状液
dyne	达因
three	三
cube root	立方根
diversity	多样性
mural	壁画
shape	形状
sacrament	圣礼
juice	汁
renew	恢复
cage	笼
operating theatre	手术室
sawtooth	锯齿
temperance	戒酒
alderman	市府参事
bigwig	大亨
Buckingham Palace	白金汉宫
imam	阿訇
diesel engine	柴油机
coreference	互指
primary school	小学
press agent	新闻广告员
exaggeration	㦆
racism	种族主义
lukewarm	温
hover	翱翔
intuit	由直觉知道
savings account	储蓄账户
lead-free	无铅的
gean	甜樱桃
Alaskan	阿拉斯加人
associative	结合的
bibliophile	爱书者
avant-garde	先锋派
3rd	第三的
thrips	牧草虫
Andrew	安德鲁
detest	憎
endive	苦苣
skating	溜冰
storksbill	天竺葵
cognize	认知
easel	画架
signal	信号
subgroup	子群
wander	徘徊
enumerate	列举
write out	㪨
bony	如骨的
self-made	自力更生的
riboflavin	核黄素
choppy	突变的
droshky	无顶四轮马车
panache	夸示
shortish	稍短的
termagant	泼妇
mucus	黏液
respectability	恪
myrrh	没药
myocarditis	心肌炎
x-axis	X轴
certain	肯定
notify	通知
alpha particle	阿尔法粒子
granulation	粗糙
sour	酸
come out	出
Apache	美洲印第安人的一种族
aircraft	航空器
kidney vetch	疗伤绒毛花
Hydra	冥卫三
Libyan	利比亚的
composure	镇静
demographic	人口统计学的
kindergarten	幼儿园
interestingly	有趣地
totemism	图腾制度
traffic jam	交通堵塞
Champagne	香槟
violoncello	大提琴
Aramaean	阿拉姆人
peaceful	平
unilateral	单方面
step	步
shelve	搁置
strange	奇怪
exhibition	展览会
scuttle	天窗
salivary gland	唾腺
wholesale	批
avoid	避免
startup	啟動
oceanic	海洋的
anisotropically	各向异性的
changeling	低能儿
microsurgery	显微手术
reassess	再摊派
saxifrage	虎耳草属植物
serviette	餐巾纸
mealtime	进餐时间
dance floor	舞池
tan	鞣
gap	缺
indigenous	在地的
continental	陆
survive	生存
positively	确实地
untruth	谎言
potential energy	势能
infusorian	纤毛虫的
Orpheus	俄耳甫斯
armful	一抱之量
proctology	直肠病学
exposure meter	曝光表
to wit	即
world record	世界记录
larkspur	燕草属植物
plastic surgeon	整形外科医生
vector sum	矢量和
neap tide	小潮
trifle	琐事
dexterity	灵巧
restrict	限制
generous	大方
prompt	速
crumple	弄皱
momentum	动量
Newcastle disease	新城疫
take down	拆卸
intellectual property	知识产权
laudanum	鸦片酊
asymptomatic	无症状的
stamp mill	捣碎机
beneficiary	受益人
erudite	博学
bomb	炸弹
wanted	想要的
mambo	曼波
paperweight	纸镇
compel	逼
preceding	前
make	做
heat	热
special	特
swarm	群
N	11
undulation	波
biting	刺痛的
sensitize	敏化
celesta	钢片琴
sleet	霰
lesbianism	女同性恋
loosestrife	珍珠菜
hubris	傲慢
oxyacid	含氧酸
enlargement	放大
polity	政体
sodium sulfate	硫酸钠
charity	慈善
interval	间隔
quash	熄
component	元件
spline	样条
cleanly	清洁的
lymphatic system	淋巴系统
Maori	毛利语
archive	档案
cucumber	黄瓜
moorland	高沼地
quotation	报价单
repaint	重画
resize	调整大小
villain	坏人
excellence	卓越
subordinating conjunction	从属关系
graveyard shift	夜班
Sierra Nevada	内华达山脉
cattle grid	拦牛木栅
Tirana	地拉那
brogue	土音
store	商店
cylindrical	圆柱
switch	开关
break off	绝
trapper	设阱捕兽者
parasol	阳伞
preternatural	异常的
rhythm	节奏
penult	语尾倒数第二音节
physicochemical	物理化学的
shudder	战栗
tights	连裤袜
upholstery	室内装潢
usufruct	使用权
workflow	工作流程
ibis	朱鹭
kettledrum	定音鼓
viscount	子爵
Moscow	莫斯科
matron	妇女
bold	敢
bogus	伪
vinegar	醋
delighted	慆
perfidy	不诚实
constructive	建设性的
wanting	䏚
audiometry	听力测定
noisily	讻
dudeen	陶器制的短烟嘴
thirtieth	第三十
life belt	救生带
bathing suit	游泳衣
cuneiform bone	楔骨
permanent magnet	永久磁铁
strange attractor	奇异吸引子
sea holly	虾膜花
throat	喉咙
inflorescence	花序
score	二十
dun	暗褐色的
fang	尖牙
heating oil	燃料油
crayfish	小龙虾
Castries	卡斯特里
softhearted	和蔼的
disciplinary	训练的
selfsame	完全相同的
churchwarden	教会委员
festoon	花彩
hexapod	昆虫
rhythmically	有节奏地
touched	精神失常的
photometer	光度计
Sorbian	文德语
sign language	手语
alike	一样
choking	窒息的
tax	税
fleeting	飞逝
capillary	毛细管
responsive	应答的
sucker	吸管
conjugate	共轭
butyric	奶油的
tradition	传统
decathlon	十项运动
epochal	新纪元的
incoherently	无条理地
sailing	航行
transept	教堂的十字型翼部
bull shark	公牛鲨
causality	因果律
sweet pea	香豌豆
oscillation	振荡
tugboat	拖船
Baffin Island	加拿大
sea bass	山川棘花鮨
Amharic	阿姆哈拉语
eyeless	盲目的
busty	大胸脯
mist	雾
unavailable	不能利用的
piffle	做无聊事
codon	密码子
hart	雄鹿
myeloma	骨髓瘤
polyhedron	多面体
sirloin	牛脊肉
toccata	托卡他曲
Guadalajara	瓜达拉哈拉
teething ring	牙齿咬环
pauper	穷鬼
aleuronic	糊粉的
extragalactic	银河系外的
Merovingian	梅罗文加王朝的
knead	揉
soiled	脏
downward	下
result	结果
ferment	酿
godliness	虔诚
annulment	废除
eyeglass	眼镜
black-market	在黑市卖
blackcock	黑色的雄松鸡
cerebrovascular	脑血管的
dishevel	使蓬乱
hysteresis	磁滞现象
pus	脓
rheum	眵
CV	单向阀
Samaria	撒马利亚
dangerously	危险
neocortical	大脑皮层的
blindly	盲目地
bisection	对分
muffle	蒙
upchuck	呕吐
stag	雄鹿
thrashing	颠簸
discreet	小心的
wreck	碰撞
force	逼
fidelity	保真度
depository	仓库
nephrolithiasis	肾石病
UN	联合国
exceptional	例外的
cuspidate	尖端的
ashore	向岸上
creamer	取乳皮的盆
proceeds	收益
fire hydrant	消防栓
frontal bone	额骨
age	年龄
garrison	驻军
propulsion	推进力
thicket	丛林
harmonica	口琴
buttress	扶壁
surprising	令人惊讶的
allophone	异声
gleam	一丝光线
turner	车工
jinx	白虎星
Barbary ape	叟猴
crosscurrent	横流
sleep disorder	睡眠失常
dark-skinned	昏暗
gauss	高斯
carbonyl	羰基
involuntary muscle	不随意肌
building site	工地
shake	摇
Manhattan	曼哈顿
misty	曀
overstate	夸张
aiglet	带端的金属尖头
antigenic	抗原性的
humdrum	单调的
choreography	编舞
governmental	政府的
kvass	克瓦斯
liana	藤蔓植物
unburied	未埋葬的
pomelo	柚
repertoire	剧目
kilogram	公斤
quart	夸脱
Corvus	乌鸦座
insulin	胰岛素
winter solstice	冬至
riffraff	流氓
pontificate	教皇
corn salad	生菜
bristle	刚毛
genealogy	家谱
tack	大头钉
unfathomable	㴭
bicyclist	骑脚踏车者
chastely	贞洁地
daredevil	蛮勇的
despair	绝望
dragnet	拖网
prom	舞会
take back	收
speedway	高速公路
brassiere	胸罩
salt shaker	盐瓶
medical record	病历
racehorse	赛马
meronym	分体法
proviso	但书
immediately	马上
swamp	沼泽
parsimony	吝啬
duress	监禁
developer	显影剂
academy	学院
Polynesian	玻里尼西亚人的
serenity	宁静
smut	黑穗病
irreversible	不能撤回的
vanish	消失
Albany	奥尔巴尼
general relativity	广义相对论
geometry	几何
pave	铺砌
baseball diamond	内场
Icelander	冰岛人
globetrotter	世界观光旅行家
golden plover	欧金鸻
Latin	拉丁语
ghost town	鬼镇
colonist	殖民者
drop off	落下
exhale	呼
ablation	切除
apocryphal	杜撰的
vitamin E	维生素E
executive	执行者
alpenstock	登山杖
wart	疣
icily	冷冰冰地
life-style	生活方式
sarcophagus	石棺
gardener	园丁
sick leave	病假
disused	废弃
Gibraltarian	直布罗陀的
Indonesian	印尼语
straight	直
protection	保护
biology	生物学
colony	殖民地
lime	石灰
library	图书馆
heartburn	烧心
lachrymose	爱哭的
extant	现存的
inventor	发明家
phlogiston	燃素
misanthropy	厌恶人类
hewer	砍伐者
news agency	通讯社
newness	崭新
complicity	共谋
osteotomy	截骨术
martyrdom	殉教
coprolite	粪化石
Nanchang	南昌
Shan	掸语
amateurish	业余的
prise	奖赏
courageous	勇
squinch	突角拱
chase	追
bream	鲂
tranquilizer	镇静剂
categorical	绝对的
deionize	去电离
erratum	写错
slattern	浪费掉
anthropologist	人类学家
smokeless	无烟的
tarnish	晦暗
stupidity	愚蠢
Christmas present	圣诞礼物
fire truck	救火车
uniform	制服
spastic	痉挛
genesis	起源
owe	欠
paraffin wax	固体石腊
anoxia	缺氧症
proud	骄傲
flight attendant	空中乘务员
open-ended	末端开口的
eye-catching	入眼
caravanserai	商队旅馆
unmanned	无人的
kea	食肉鹦鹉
