covenant	ஒப்பந்தம்
passion	வெறுப்பு
come out	தூண்டு
shape	வடிவம்
diversity	வேறுபாடு
renew	புதுப்பி
plus	கூட்டல்
aircraft	விமானம்
detest	வெறு
juice	பழச் சாறு
certain	நிச்சயமாக
wander	சுற்று
notion	கருத்து
lukewarm	மிதமான சூடு
operating theatre	அறுவை சிகிச்சைக்கூடம்
composure	அமைதி
racism	இனவாதம்
sacrament	புனித மதச்சடங்கு
three	மூன்று
Buckingham Palace	பக்கிங்ஹாம் அரண்மனை
termagant	அடங்காதவள்
exhibition	கண்காட்சி
hover	ஊசலாடு
signal	அறிகுறிகாட்டு
enumerate	எண்ணு
startup	தொடங்கல்
avoid	தவிர்
notify	தெரிவி
dexterity	துப்பு
bomb	வெடிகுண்டு
sour	வெறுப்பூட்டு
mucus	மூக்குச்சளி
strange	விசித்திரமான
armful	தழுவு
respectability	கண்ணியம்
scuttle	தப்பி ஓடு
wholesale	மொத்தமான
exaggeration	கற்பனை
kindergarten	பாலர் பள்ளி
shelve	தள்ளிப்போடு
intuit	உள்ளுணர்
myrrh	குங்குமதூபம்
Hydra	ஹைத்ரா
component	பொருள்கூறு
cucumber	வெள்ளரிக்காய்
prompt	தூண்டு
archive	ஆவணக்கிடங்கு
gap	பிளவு
swarm	திரள்
crumple	கசக்கு
survive	பிழை
step	படி
take down	எழுது
Maori	மௌரி
special	சிறந்த
charity	தருமம்
compel	கட்டாயப்படுத்து
trifle	விளையாடு
tan	அடி
biting	கடி
positively	நிச்சயமாக
cleanly	துப்புரவான
peaceful	அமைதியான
untruth	பொய்
generous	பெருந்தன்மையாய் இரு
indigenous	சுதேசி
restrict	எல்லையாகு
wanted	தேடப்படுகின்ற
querulousness	சிலுசிலுப்பு
N	ந
heat	சூடு
make	செய்
excellence	உயர்வு
quash	நிறுத்து
momentum	உந்தம்
audiometry	செவித் திறன் பரிசோதனை
bathing suit	நீச்சலுடை
bold	முனை
villain	போக்கிரி
crayfish	ஆற்று நண்டு
interval	தூரம்
enlargement	வீக்கம்
quotation	பொன்மொழி
hubris	அகங்காரம்
moorland	புதர் நிலம்
paperweight	தாள்நிறுத்தி
tights	உடல் இறுக்கச் கால் சட்டை
upholstery	மெத்தை போடுதல்
break off	இசி-த்தல்
usufruct	போக்கியம்
Amharic	அம்ஹாரிக்
score	இருபது
throat	தொண்டை
alike	ஒத்திரு
selfsame	ஒத்த
store	கடை
perfidy	நம்பிக்கை
rhythm	தாளம்
conjugate	விணை விகற்பம் கூறு
capillary	மிக மெல்லிய கோடு
shudder	பயப்படு
inflorescence	மலர்க் கடை
switch	நகர்த்து
sign language	சைகை மொழி
parasol	குடை
vinegar	புளித்த காடி
Moscow	மாஸ்கோ
dun	நச்சரி
matron	எசமானி
churchwarden	சபாமூப்பன்
choking	திக்குமுக்கு
kettledrum	நகரா
Baffin Island	கனடா
mist	மூடுபனி
CV	சிவி
tax	வரி
unavailable	கிடைக்கப்பெறாத
result	விளைவு
age	யுகம்
piffle	உளறு
oscillation	அலைவு
hart	மான்
fleeting	பறந்தோடு
fang	கோரைப்பல்
heating oil	வெப்பமேற்றுவதற்குப் பயன்படும் எண்ணை
pauper	ஏழை மனிதன்
sucker	எளிதில் ஏமாறுபவர்
tradition	பாரம்பரியம்
soiled	அழுக்காகு
festoon	விளக்குகளால் அலங்கரி
causality	ஏதுத்தன்மை
rheum	கண்ணின்பீளை
blindly	குருட்டுப்போக்காய்
pus	சலம்
sailing	பாய்மரப் படகோட்டம்
UN	ஐக்கிய நாடுகள் அவை
bristle	சிலுப்பு வை
buttress	சப்பைக் கட்டு
shake	குலுக்கு
fidelity	நுணுக்கம்
force	கட்டாயப்படுத்து
stag	கலைமான்
downward	கீழே
dishevel	அழுக்காக்கு
gleam	பிரகாசி
thicket	தோப்பு
wreck	சேதப்படுத்து
discreet	முன்யோசனையுள்ள
daredevil	எதற்கும் துணிந்த
knead	பிசை
proceeds	விற்பனையில் கிடைத்த பணம்
propulsion	உந்துகை
ferment	புளித்துப் பொங்கு வை
misty	பனியாஹ இரு
muffle	ஒலியைக் குறை
thrashing	அடிக்கை
godliness	கடவுட்டன்மை
turner	கடைசல்வேலைசெய்வோன்
frontal bone	கண்ணாமண்டை
building site	கரக்ஷேத்திரம்
garrison	தாணையம்
winter solstice	மகராயனம்
bicyclist	சைக்கிள் ஓட்டுபவர்
Latin	இலத்தீன்
Indonesian	இந்தோனேஷியன்
take back	கைவிடு
ablation	அகற்றுதல்
academy	சங்கம்
genealogy	பரம்பரையியல்
colony	பகுதி
vanish	மறை
tack	பொருத்து
kilogram	கிலோகிராம்
overstate	அள
racehorse	பந்தயக் குதிரை
swamp	சதுப்புநிலம்
humdrum	மோசமாக இரு
despair	நம்பிக்கை இழ
jinx	சூனியம் பண்ணு
pontificate	சொற்பொழிவு செய்
complicity	உக்குமத்து
pomelo	பம்பிளிமாசு
harmonica	மோர்சிங்
Shan	ஷான்
library	நூலகம்
protection	பாதுகாப்பு
executive	நிர்வாகி
wart	பாலுண்ணி
biology	உயிரியல்
exhale	மூச்சு விடு
categorical	வகையான
chase	துரத்து
immediately	உடனே
caravanserai	பேட்டை
parsimony	சிக்கனம்
straight	நேரான
gardener	தோட்டக்காரர்
geometry	வடிவவியல்
heartburn	நெஞ்செரிப்பு
lime	சுண்ணாம்பு
misanthropy	மனித வெறுப்பு
osteotomy	எலும்பு அறுவை சிகிச்சை
pave	செங்கல் பாவு
courageous	துணிவாக இரு
drop off	தூங்கிவிடு
martyrdom	இரத்தசாட்சி
avidity	ஆசை
decay	மங்கு
Filipino	ஃபிலிபினோ
apartment	வசிக்கும் இடம்
newness	புதுமை
tarnish	கெடு
stupidity	முட்டாள்தனம்
genesis	வேதாகமத்தின் ஆரம்ப ஆத்தியாயம்
inventor	கண்டுபிடிப்பாளர்
owe	கடன்படு
open-ended	கால எல்லை வரையறுக் கப்படாத
proud	அகங்காரி
smokeless	புகையில்லாத
spastic	வலிப்பு நோய்
uniform	சீருடை
weaver	நெசவாளர்
watch out	ஜாக்கிரதையாக இரு
slattern	அறுமணை
Addis Ababa	அடிஸ் அபாபா
bus	பேருந்து
divide	பிரி
affluent	வசதிபடைத்தவர்
autograph	கையொப்ப ஏடு
sofa	மெது நாற்காலி
bacterium	கோலுரு நுண்ணுயிர்
dilemma	இரண்டும் கெட்ட நிலை
economist	பொருளியலாளர்
flair	இயல்பான திறமை
flirt	சரசமாடு
newsstand	செய்தித்தாள் விற்பனையாளர்
infuriate	கோபமூட்டு
ham it up	குலுக்கு
formation	உண்டாக்குகை
plutocracy	பகுநாயகம்
Saskatoon	சாஸ்கடூன்
Persian	பெர்ஷியன்
surpass	மேம்படுத்து
watermark	நீர்க்குறி
married couple	தம்பதி
gut	நாசமாக்கு
forefinger	ஆள்காட்டி விரல்
ally	நண்பன்
pastor	பாதிரியார்
night shift	இரவு வேலை
observant	கவனிக்கிற
short-term	தற்காலிக
pumpkin	பூசணி
ripe	பழுத்த
bodice	வார்
Wellington	வெலிங்டன்
guffaw	ஹஹ்ஹா வென்று சிரி
fishing	பாபத்தி
areola	சிற்றிடம்
euphoria	களிப்பில்
Old English	பழைய ஆங்கிலம்
cat	பூனை
Portugal	போர்த்துகல்
semiconductor	குறைமின்கடத்தி
confluence	ஆற்றுச்சந்தி
flowerpot	குழிதாழி
noise	சத்தம்
annotation	வியாக்கியானம்
consume	குடி
as much as possible	எவ்வளவு முடியமோ அவ்வளவு
dual	இரட்டையான
temperature	வெப்பநிலை
lubricate	கிரீஸ்ஸ் தடவு
slowly	மெதுவாக
communize	கம்யூனிஸமாக்கு
flimsy	சிறு
paginate	பக்கம் போடு
slog	கஷ்டப்பட்டு உழை
repression	அடக்குமுறை
cubit	கரம்
myna	மைனா
zipper	இணைசிப்பர்
Iceland	ஐஸ்லாந்து
sovereignty	இறையாண்மை
presage	முன்னறிவி
occur	நிகழ்
abide by	கடைப்பிடி
adverb	வினையுரிச்சொல்
meaning	பொருள்
muscle	தசை
sketch	வரைப்பேனா
supermarket	பேரங்காடி
handwritten	கையால் எழுதப்பட்ட
imperfect	முழுமையடையாத
woodwork	மரவேலை
World War II	இரண்டாம் உலகப் போர்
East Timor	தைமூர்-லெஸ்தே
hemiplegia	நோய்வகை
golfer	கோல்ஃப் விளையாடுபவர்
platinum	வெண்மம்
worth	தகுதி
justify	நியாயப்படுத்து
govern	ஆள்
convenient	வசதியாக இரு
adversary	எதிரி
police dog	மோப்ப நாய்
girdle	சுற்றிக் கட்டிக் கொள்
inflate	உயர்த்து
fatal	நாசமாக்கு
mighty	பலம் வாய்ந்த
creed	கோள்
municipality	நகராட்சி
vacuum cleaner	தூசி உறிஞ்சி
topsail	காவி
counterbalance	சமன்செய்
exhume	தோண்டியெடு
kindling	உத்தீபனம்
parhelion	பரசுசூரியன்
silicone	சிலிக்கான்
amino acid	அமினோ அமிலம்
pragmatism	காரியவாதம்
pepper	மிளகு
orca	திமிஙகளம்
asynchronous transfer mode	ஒத்திசையா மாற்று முறை
feed	ஊட்டு
newspaper	நாளிதழ்
rebuke	அடி
verify	கணக்கு பார்
barbiturate	தூக்க மாத்திரை
vein	சிரை
feeble	பலவீனமான
waistline	இடுப்பு
neutral	நடு நிலை
perusal	கவனமாக வாசித்துப் பார்த்தல்
sedate	அமைதிப்படுத்து
mangle	சிதை
alembic	அலெம்பிக்
Rwanda	ருவாண்டா
bone marrow	எலும்பு மச்சை
blood plasma	பிளாஸ்மா
machine code	ஆணைமூலம்
Yellow Sea	மஞ்சள் கடல்
Somali	சோமாலி
proclamation	அதிகார பூர்வமான அறிக்கை
address	முகவரி எழுது
discrepancy	வித்தியாசம்
penetration	பதிகை
bounce	தட்டு
appreciate	போற்று
anvil	பட்டடை
dear	விலை அதிகமாக இரு
freely	தானாக
Virgo	கன்னி
porter	சுமை தூக்குபவர்
skiing	பனிச் சறுக்குதல்
arraign	குற்றம்சாட்டு
baste	இழையோட்டுதல்
beryl	பெரில்
Aug	ஆக.
flow	பாய்
series	தொகுதி
New South Wales	நியூ சவுத் வேல்ஸ்
resemble	ஒத்திருத்தல்
acute	கூர்மையான
additionally	கூடுதலான
airplane	விமானம்
furthermore	அதற்கு அப்பால்
strengthen	உறுதிப்படுத்து
whisker	மீசை
Bible	விவிலியம்
vomiting	வாந்தி
trainee	பயிற்சி எடுப்பவர்கள்
waterproof	நீர் படியாத
illicit	ஒழுக்கம் தவறு
overcapitalize	அதிகமாக முடக்கு
booty	கொள்ளைப்பொருள்
wheelbarrow	தள்ளுவண்டி
carnal knowledge	udaluravu kolludal
oboe	ஓபோ
megahertz	மெகாஹெர்ட்ஸ்
dick	ஆண்குறி
Kazakhstan	கஜாக்ஸ்தான்
m	திரள்
artful	கபடமான
elite	உன்னதம்
robbery	கொள்ளை
cleanse	விளக்கு
disclose	வெளிப்படுத்து
kingship	அரசு
nameless	பெயர் அற்ற
opera	இசை நாடகம்
Poland	போலந்து
uncooked	சமைக்கப்படாத
Pangaea	ஒருநிலக் கொள்கை
Bay of Bengal	வங்காள விரிகுடா
nasal	அனுநாசிகம்
panoply	ஆயிரவருக்கம்
all along	நீள
Philippines	பிலிப்பைன்ஸ்
England	இங்கிலாந்து
manager	நிர்வாகி
variance	மாறுபாடு
chest	மார்பு
bedstead	கட்டில்
dampen	முறி
balsam	மருந்துக் களிம்பு
chum	நண்பர்
compromise	விட்டுக்கொடு
mortality	மரணம்
duke	அரச பரம்பரை உறுப்பினர்
eaves	இறவானம்
papaya	பப்பாளி
thinker	சிந்தனையாளர்
bonobo	பொனொபோ
Massachusetts	மசாசுசெற்ஸ்
account	கணக்கு
cadmium	கட்மியம்
New Zealand	நியூசிலாந்து
fashion	உருவாக்கு
sphere	உருண்டை
alteration	திருத்தம் மாற்றம்
foot	அடி
glow	பிரகாசி
indignation	கோபம்
elucidation	விளக்கம்
gnarl	தடிப்பு
broccoli	பச்சைப் பூக்கோசு
retain	பிடி
enlist	திரட்டு
disregard	நிராகரி
discovery	வெளிப்பாடு
futile	வீணாகு
speaker	ஸ்பீக்கர்
obtuse	மழுங்கிய
enrage	கோபமூட்டு
Swede	சுவீடன்
tapestry	ஓவியத்திரை
dissipate	வீணாக்கு
cuscus	இலாமிச்சை
iritis	கண்ணோய்வகை
loincloth	கோவணம்
predecessor	முன்னோன்
e	E
vixen	நரி
grid	கட்டம்
Isaac	ஈசாக்கு
table tennis	மேசைப்பந்தாட்டம்
imposition	வரி
resolve	முடிவு செய்
shave	சீவு
categorize	சொல்
deterioration	நாசம்
coach	கற்பி
collector	வசூலிப்பவர்
lingo	ஒரு துறை சார்ந்த மொழி
heroism	வீரத்தனம்
beautify	அலங்கரி
violence	வன்முறை
huffy	முறை
nod	சாயச் செய்
North Pole	வட துருவம்
small intestine	சிறுகுடல்
underbelly	அடி வயிறு
dissembler	ஒப்பாசாரக்காரன்
menagerie	மிருகாசயம்
cardiology	இதயவியல்
sustainability	பேண்தகுநிலை
icicle	பனிக்கூரி
formulate	முறைப்படுத்து
turn over	புரட்டு
jar	தட்டு
look forward	எதிர்பார்
resurrect	எழுப்பு
bone	எலும்பு
falsify	சோடி
crayon	கிரேயன்
dull	மந்தமாக இரு
swoon	மயக்கம்
fountain	ஊற்று
hybrid	கலப்பின வகை
milkmaid	பால்காரி
peremptory	மீற இயலாத
irk	எரிச்சலூட்டு
Kenya	கென்யா
Vietnam War	வியட்நாம் போர்
drone	சத்தம் போடு
bifurcate	இரண்டாகப்போ
greyhound	கொடிநாய்
Wales	வேல்ஸ்
Serbian	செர்பியன்
orientation	செயல்
appearance	தோற்றம்
contents	பொருளடக்கம்
tenant	குடியிருப்பவர்
adjective	உரிச்சொல்
big	பெரிய
bleeding	குருதிப்பெருக்கு
from time to time	அவ்வப்பொழுது
larynx	குரல்வளை
mantel	தட்ட மாடம்
prosecutor	வாதி
rotten	அழுகிய
shears	கத்தரிக்கோல்
vest	பனியன்
People's Republic of China	சீன மக்கள் குடியரசு
Saint Petersburg	சென் பீட்டர்ஸ்பேர்க்
manoeuvre	நயந்து பேசு
ASEAN	ஆசியான்
fraction	பின்னம்
fame	புகழ்
relax	இளைப்பாறு
proficient	ஆற்றல்
simultaneous	ஒரே மாதிரியான
pass	கட
angel	தேவதூதர்
gladly	விரும்பு
donkey	கழுதை
tempt	ஆசை காட்டு
gem	நகை
swan	அன்னம்
executioner	கொலைகாரன்
caravan	பிரயாணிகள்
tick	டிக்டிக்கென்று அடி
maiden	சிறுமி
linchpin	சாவி
platform	புகையிரத மேடை
debilitate	பலவீனப்படுத்து
denature	குடிக்கத் தகுதியற்றதாக்கு
fruitless	வீணாகு
chopper	கத்திவகை
absorbent	சோஷணி
pineal gland	திரிகோணகுண்டலி
Navajo	நாவஹோ மொழி
Eritrea	எரிட்ரியா
tub	தொட்டி
image	உருவம்
borax	வேலை
extinguish	அணை
lay off	நிறுத்து
frugal	சிக்கனமாக இரு
notwithstanding	இருந்தாலும்
retrieve	கொண்டு வா
thief	திருடன்
double	இரட்டை வேடத்தில் நடி
cowherd	மாட்டிடையன்
quarrelsomeness	தொந்தரவு
delta	கடைமடை
demur	தயங்கு
lethal	மரணத்தை விளைவிக்கும்
ovary	சூலகம்
robust	கபீரமான
rainwater	மழை
incendiary	கலகக்காரன்
tamarind	புளி
wedding ring	திருமண மோதிரம்
suspension bridge	தொங்குபாலம்
flamethrower	தழல் வீசி
canoe	சிறிய படகு
clip	துண்டுப்படம்
flip	இழு
save	சேமி
fondle	தடவு
tasty	ருசியாக இரு
outlook	தோற்றம்
a little	அற்பம்
remember	கொண்டாடு
dejection	மலம்
diction	கருத்து தெரிவிக்கும் வழி
soundness	நேர்மை
spoilt	கெட்டுப்போன
unborn	பிறக்காத
untalented	திறமையற்ற
visa	விசா
Nicaragua	நிகரகுவா
elevated	உயர்
marinate	ஊறல் போடு
rheology	சடப்பாயவியல்
flea	உண்ணி
like	ஆசை
Europe	ஐரோப்பா
alphabetical	அகரவரிசையாக
anonymous	பெயரிலா
build	கட்டு
level	நிலை
space	தூரம்
replica	நேர்படி
crew	பணிக்குழு
vow	சத்தியம்
revere	வணங்கு
void	கழி
water level	நீர் மட்டம்
unworthy	தகாத
discuss	கொடு
avoidance	தவிர்த்தல்
tragic	துன்பம்
lava	லாவா
penguin	பென்குயின்
unfortunately	துரதிஷ்டவசமாக
coupling	udaluravu kolludal
optical disc	ஆப்டிகல் டிஸ்க்
orderliness	திருத்தம்
journal	இதழ்
scan	தேடு
let loose	விடுவி
leaseholder	விவசாயி
miracle	அற்புதம்
impoverish	நலிவடையச் செய்
fierce	சீறு
purse	பணப்பை
ballet	ஒரு வகை நடனம்
sicken	வெறுப்பூட்டு
eardrum	பேரிகை
felt	அட்டை போன்று தயாரிக்கப்பட்ட கம்பளி
new moon	அமாவசை
rusty	துரு
let in	சொல்
zigzag	கோணல் மாணலான பாதை
Old Irish	பழைய ஐரிஷ்
squall	புயல்
Bangla	இந்தியா
boron	கார்மம்
advert	விளம்பரம்
kurta	பங்களாதேஷ்
resemblance	இணை
maintain	வலியுறுத்து
biographer	வாழ்க்கை சரித்திரம் எழுதுபவர்
badly	அவசரமாக
yearning	அதிக விருப்பம்
stubborn	பிடிவாத
epidemic	கொள்ளை நோய்
seismic	பூமி சம்பந்தமான
vacation	விடுமுறை நாட்கள்
icing sugar	மாச் சீனி
shoulder	தோள்
subtitle	துணை உரை
theology	வேதவியல்
Nebraska	நெப்ரஸ்கா
purr	சத்தம் போடு
bracket	அடைப்புக்குறி இடு
electrostatics	மின்நிலையியல்
hydrogen sulfide	ஐதரசன் சல்பைடு
alien	ஏலியன்
uplift	மேம்படுத்து
arduous	உயர்ந்த
right	சரி
turn up	வந்து சேர்
painter	ஓவியர்
accidentally	எதிர்பாராதவிதமாக
bravado	சாகசம்
overwork	விரட்டு
confound	திகைக்க வை
sand	மணல்
excretion	அழுக்கு
instead	௮தன் காரணமாக
investor	மூலதனக்காரர்
read	வாசி
cohabitation	துயில்
stoop	சாய்
Republic of Equatorial Guinea	எக்குவடோரியல் கினி
nincompoop	அசடன்
terse	அரணியவான
plainly	தெட்டத்தெளிய
Belarus	பெலாரஸ்
seat	நாற்காலி
diminution	சுருக்கம்
set up	நிறுவு
superlative	உயர்ந்த
affiliate	உறுப்பினராக ஏற்றுக்கொள்
pronounce	வலியுறுத்து
gasp	இரை
universe	அண்டம்
devote	அர்ப்பணி
subscription	சந்தா
ill	கெட்டதாக இரு
inauguration	அங்குரார்ப்பணம்
probable	சம்பவிக்கக் கூடிய.உண்மையாகக்கூடிய.சாத்தியமான
tobacconist	புகையிலை வியாபாரி
toilet seat	கழிப்பறை இருக்கை
tulip	பூவரசு
Olympian	ஹெப்பஸ்தஸ்
Hera	ஹீரா
botch	குழப்பிவிடு
despicable	பழிப்புக்கிடமாக இரு
squint	ஜாடை காட்டு
Kalamazoo	அமெரிக்க
storm	புயல்
call	கூப்பிடு
display	காட்டு
format	வடிவமைப்பு
bunch	கொத்து
contrary	எதிரிடையான
profitable	லாபகரமாக இரு
empower	உரிமையளி
ultimately	இறுதியில்
Nagano	கண்
emerald	மரகதம்
idleness	சோம்பல்
spinach	பசளி
physics	பெளதிகம்
sadden	மனதை வருத்து
Tokyo	டோக்கியோ
gouge	பிடுங்கு
confirmation	உறுதிப்பாடு
pilaster	பிஞ்சுக்கட்டை
Gujarat	குசராத்
ornament	ஆபரணம்
administrator	நிர்வாகி
connect	இணை
output	வெளியீடு
lodge	தங்கு
zenith	நடு உச்சி
boiling	வே
foremost	முதல்
quartz	வெண்கல்
Easter Sunday	உதித்தெழுந்த ஞாயிறு
skeptic	சந்தேகப்பேர்வழி
slender	ஒடுங்கிய் மென்மையான
snack	பலகாரம் சாப்பிடு
tactfully	பக்குவமாய்
fall for	மோசம்போ
misinform	தப்பாகத் தெரிவி
naturalize	குடியுரிமை கொடு
evening star	அந்திநட்சத்திரம்
maternity ward	ஈனில்
eloquence	சொற்சாதுரியம்
clairvoyance	தீர்க்கதரிசனம்
orator	பேச்சாளி
American Samoa	அமெரிக்க சமோவா
goad	தூண்டு
spot	புள்ளி
grievance	மனக்குறை
academic	கல்விமான்
belittle	சிறுமைப்படுத்து
rareness	அருமை
wager	பந்தயம்
floodgate	தளம்பு
gobble	திணி
inertia	சடத்துவம்
wreathe	பரவு
Stone Age	கற்காலம்
tabloid	சிறுபக்கச் செய்தித்தாள்
vicar	கிராமப் புரோகிதன்
Taliban	தலிபான்
kidnapping	ஆசாமிக்களவு
prescribe	கட்டளையிடு-தல்
ureter	மூத்திரக்குண்டிக்காய்க்குழல்
foundry	வார்ப்பாலை
White Sea	வெண்கடல்
albinism	வெண்பாண்டு
curry	கறி
thanks	நன்றி
wrap	சுற்று
toil	கடுமையாக உழை
communication	தொடர்பு
fault	தவறு
distemper	வியாதி
longitudinally	நெடுக
fill out	நிறைவேற்று
fence	வேலி
contradict	மறு
disobey	மீறு
caterpillar	கம்பளிப்பூச்சி
chlorophyll	பச்சையம்
paprika	குடமிளகாய்
rowing	வலிப்பு
foreground	முன்னணி
harvesting	அறுவடை
needy	வறுமையான
optimistically	எதிர்காலத்தில் நம்பிக்கையுடைய
sixty-nine	அறுபத்தொன்பது
southerly	தென்
staircase	படிகட்டுகள்
zinnia	நிறவாதவன்
Minnesota	மினசோட்டா
furtive	இரகசியமாக இரு
elephantiasis	ஆனைக்கால்
sublimate	எரி-த்தல்
chrysalis	கூண்டுப்புழு
surrealism	அடிமன வெளிப்பாட்டியம்
Romanian	ரொமேனியன
CD burner	சிடி எரிப்பான்
bump	வீக்கம்
exemplar	மாதிரி
foggy	பனிமூட்டம்
game theory	விளையாட்டுப் கோட்பாடு
gas station	எரிபொருள் வழங்கும் நிலையம்
mourning	புலம்பல்
net income	நிகர வருமானம்
smallpox	பெரியம்மை
trademark	வர்த்தகச் சின்னம்
Alaska	அலாஸ்கா
Bihar	பீகார்
rethink	நினைத்துப்பார்
rock	பாறை
thunderstorm	புயல்
word	சொல்
world	உலகம்
Kobe	ஜப்பான்
union	சங்கம்
ligature	நார்
satisfaction	திருப்தி
bearing	நடத்தை
transition	மாறுதல்
official	அதிகாரி
appendage	சேர்க்கப்பட்ட பொருள்
yelp	கத்து
illuminate	பிரகாசமாக்கு
concentrate	ஆழ்ந்த சிந்தனை பண்ணு
vermilion	சாணம்
first aid	முதலுதவி
irritate	தூண்டி விடு
befuddle	கலக்கு
transplantation	நாற்று நடுதல்
gesticulate	கையை ஆட்டு
make sense	ஞாயமாக இரு
alluvium	ஆற்றுவண்டல்
clearly	அற
breadfruit	சீமைப்பலா
windfall	நராபோகம்
nucleolus	கருவுட்பருனி
lawrencium	லோரென்சியம்
clipboard	பரீட்சை அட்டை
obstacle	தடைகள்
road	சாலை
nobility	பெருந்தன்மை
modulate	தணி
afterward	அதன்பிறகு
energetic	நடமாடு
umbrage	மனக்குறை
average	சராசரி
beetroot	பீட்ரூட்
climate	வானிலை
concept	எண்ணம்
prism	படிகம்
deodorant	கமகம்
dizziness	தலைச்சுற்று
Easter	ஏசு உயிர்த்தெழுந்த தினம்
skip	குதி
productivity	உற்பத்தித்திறன்
Stuttgart	ஸ்டுட்கார்ட்
whiz	இரை-தல்
Ephesians	எபேசியருக்கு எழுதிய திருமுகம்
guardian angel	காவல் தேவதை
South China Sea	தென்சீனக் கடல்
Aristotle	அரிஸ்டாட்டில்
set	கணம்
globe	பூகோளம்
fraud	புரட்டு
squash	பிழி
entire	முழு
entangle	நிறுத்தி வை
bearable	தாங்கக்கூடிய
capital	தலைநகர்
embezzlement	பணமோசடி
incompleteness	மொட்டை
candlelight	மெழுகுதிரி வெளிச்சம்
maize	சோளம்
veer	விலகு
prognosis	முன்னறிவிப்பு
webcam	வலைநிழம்பி
Genesis	ஆதியாகமம்
incomprehensible	புதிராக இரு
pentagon	ஐங்கோணம்
farsighted	சாது
goodbye	சென்று வருகிறேன்
Kurdistan	ஆர்மீனியா
retirement	பணி ஓய்வு
obligation	கடமை
blight	அழி
glimpse	கடைக்கண்ணால் பார்
birthright	பிறப்புரிமை
bandmaster	இசைக் குழு இயக்குநர்
succeed	கூடு
clarify	தெளிவாக்கு
cousin	துணைவன்
barn owl	ஆந்தை
resistant	எதிர்பாற்றல்மிக்க
testify	சாட்சி கொடு
slick	வழவழப்பாக்கு
gelding	சலகு
nucleon	அணுக்கருனி
sensor	உணரி
unit	பிரிவு
estimate	மதிப்பிடு
calibrate	அளவிடு
dill	குப்பை
of course	உண்மையான
horoscope	ஜாதகம்
worry	கவலைப்படு
fallen	விரும்பு
racquet	பந்தடிக்கும் மட்டை
mustard	கடுகு
capitalist	பணக்காரன் முதலாளி
probity	நாணயம் நேர்மை
capitalism	முதலாளித்துவம்
sew	தை
microphone	ஒலிவாங்கி
pensioner	ஓய்வூதியம் பெறுபவர்
professor	பேராசிரியர்
unbeliever	நம்பிக்கையற்றவர்
Black Sea	கருங்கடல்
ejaculate	ஸ்கலிதமாகு
vapidness	ஒன்றுமின்மை
observatory	சோதிடோப்பரிகை
hearse	பச்சைப்பல்லக்கு
stepmother	மறுதாய்
mountain	மலை
Old Norse	பழைய நோர்ஸ்
astatine	அஸ்தாதைன்
poverty	வறுமை
vestibule	நடை
dyke	அணைக்கட்டு
clash	வித்தியாசம்
gay	நம்பி
stigma	தும்பிக்கை
brotherhood	சகொதரத்துவம்
self-interest	சுயநலம்
folk	மக்கள்
physiotherapy	உடற்பயிற்சிச் சிகிச்சை
power station	மின் நிலையம்
tornado	சூறாவளி
Guinea	கினியா
sandbank	சைகதம்
islander	தீவான்
wisely	நன்றாய்
grove	தோப்பு
provide	தயார் செய்
jab	செருகு
liquor	மதுபானம்
tribulation	குழப்பம்
hurry	அவசரம்
norm	மாதிரி
avenger	பழிவாங்குபவர்
intrigue	ஆசை காட்டு
glutton	பேருந்தீனி உண்ணுபவர்
indirect	மறைமுகம்
kilometre	கிலோமீட்டர்
underwear	உள்ளாடை
tennis racket	ரெனிஸ் மட்டை
splice	தொடு
maul	சீராட்டு
prelate	மேற்றிராணி
burrito	புரிட்டோ
Habakkuk	ஆபகூக்
South America	தென் அமெரிக்கா
Colombia	கொலம்பியா
palladium	வெண்ணிரும்பு
trade	வர்த்தகம்
tolerate	அனுமதி
discourse	கட்டுரை
compendium	சுருக்கம்
maximize	பெரிதாக்கு
trash	போடு
corridor	தாழ்வாரம்
stuff	வலியுறுத்து
calibre	திறமை
obliterate	அடி
evaporation	நீராவியாகுதல்
polarity	காந்த சக்தி
spinster	முதுக்கன்னி
Nevada	நிவாடா
green gram	பசும்பயறு
Nouakchott	நவாக்சோட்
fatherland	தந்தையர் நாடு
fruit	பழம்
applet	குறுநிரல்
incorporate	உள்ளடக்கு
advice	ஆலோசனை
prong	கரு
announce	தெரிவி
purpose	குறிக்கோள்
absolute	பூரண
break in	கடை சூரையாடல்
hoe	மண்வெட்டி
illustrate	தெளிவாக்கு
meter	மீட்டர்
urbanization	நகரமயமாக்குதல்
water tap	நீர்க் குழாய்
dehumanize	மிருகமாக்கு
uvula	அண்ணம்
sackcloth	இரட்டு
corundum	ஈரக்கல்
vainly	பயனின்றி
cayenne pepper	பேய்மிளகாய்
court	நீதிமன்றம்
track	பின்தொடர்
nutrition	சத்துணவு
specimen	மாதிரி
stupid	முட்டாள்
gnaw	கடி
wire	கம்பி
enigma	விடுகதை
determinant	துணிகோவை
fisher	மீனவர்
maniac	மூளை சரியில்லாத
ideology	கொள்கை
oracle	சாமி ஆடி கூறப்படும் கூற்று
plague	பீடி
unhappy	அதிருப்தியாக இரு
shrunken	துவண்டிரு
flutist	கண்ணுளாளன்
batch	கைகட்டு
Anatolia	அனத்தோலியா
psi	psi
wait	காத்திரு
thigh	தொடை
patent	வடிவமைப்பு
