explanation	maelezo
catch	-kamata
sword	upanga
stretcher	kitanda
stingray	taa
tough	-gumu
chap	mwanamume
split	-pasua
respiration	pumzi
behaviour	tabia
allusion	fumbo
promptness	uwahi
renegade	haini
gob	kinywa
cable	amari
womanly	-a kike
tarantula	bui
Stockholm	Stockholm
Mont Blanc	Mont Blanc
Federated States of Micronesia	Shirikisho la Mikronesia
Tswana	Kitswana
impact	athari
venture	-diriki
dad	baba
proof	ushuhuda
nostrum	chukua
Karachi	Karachi
at once	sasa hivi
hematoma	chubuko
delude	-shaua
congener	mtani
bard	malenga
carnelian	akiki
collective	ujima
irritable	habali
anniversary	maulidi
accountancy	uhasibu
Muharram	muharram
Kiribati	Kiribati
New York City	New York
coop up	kizimba juu
worldwide	dunia pana
watering can	maji kopo
blueberry	rangi ya buluuberi
job	kazi
portal	lango
water vapor	moshi
overhead	utosini
flu	kamata
demonstrate	-aridhia
blaze	mwako
disobedient	-kaidi
wag	-vinya
imp	kishetani
arbitrary	jeuri
censorship	udhibiti
mosquito net	kiandarua cha mbu
surveying	mpimo
dynamo	dainamo
sycamore	mkuyu
great power	nchi kubwa
cinnabar	singefuri
fertile	zazi
helmet	helmeti
mismatch	sigana
glasshouse	bilauri chengo
physicist	mwanafizikia
wonderland	nchi ya ajabu
Kannada	kikannada
disdain	unyanya
cut off	-katisha
decree	hukumu
demiurge	mabwana
candle	mshumaa
message	ujumbe
comeback	jibu
boot	buti
twilight	kisikusiku
decide	-yakinia
determine	-tambulisha
multiply	-zidisha
memorize	-soma
oval	namna ya yai
Archimedes	Archimedes
Hargeisa	Hargeisa
polar bear	dubu barafu
weekly	kwa juma
estrogen	estrojeni
grieve	-huzunisha
joy	furaha
weather	hali ya hewa
barn swallow	Asia
central	-a kati
reverence	ibada
impala	swala
national park	mbuga ya taifa ya wanyama
swing	pembea
telephone number	nambari
alluring	shawishi
mediator	mpatanishi
self-sufficiency	kinaya
silversmith	sonara
watchfulness	maangalizi
excellently	fathali
Islam	Uislamu
Gambian	Mgambia
Swiss	Mswisi
jaw	taya
Cape of Good Hope	Rasi ya Tumaini Jema
write down	andika laika
Hades	Hade
Juno	Juno
underpants	chupi
habitation	nyumba
angry	chungu
tame	-fuga
shame	aibu
take notice	-tahamaki
scandal	chongelezo
penalty	adhabu
rickety	-legalega
bran	ukumvi
mince	-katakata
roughly	paruparu
berkelium	berkeli
ecology	ekolojia
stagnation	mavilio
blackberry	mbigili
neptunium	neptuni
Republic of Albania	Jamhuri ya Albania
cycle	baisikeli
hulk	basi
choke	-songa
percent	asilimia
tent	hema
reckon	-tegemea
let	-kodi
nerve	neva
everyday	kila siku
usually	aghalabu
correctness	hakika
barracuda	sansuri
gaze	nadhari
oxtail	kitako
brown	kahawia
scab	mchochota
eruption	barasi
cadge	buga
flog	-rapua
Kingdom of Norway	Norwei
frankly	kinaganaga
modern	kisasa
desire	mapenzi
border	mpaka
disciple	mfuasi
schoolboy	mwanafunzi
wall	ukuta
freedom	uhuru
cornflower	hindi chanua
urinal	choo
suddenly	ghafula
illusion	uongo
dynasty	nasaba
come up	-chimbuka
condolence	liwazo
Puerto Rican	Mpwetoriko
Pakistan	Pakistani
usury	riba
technetium	tekineti
press	-gandamiza
lung	pafu
fantastic	bora
down	chini
downstairs	chini
powder	poda
visit	ziara
bright	safi
massive	-zima
abstruse	-refu
sight	uoni
dot	nukta
augmentation	jazi
separatist	mtenga
Omani	Mwomani
Saint Lucia	Santalusia
gooseberry	tunda bukini
Saint Valentine's Day	Siku ya wapendanao
buffer	bafa
sly	-janja
concern	-husu
blue	bluu
regard	-sharifu
raw material	wenzo
outside	nje
moment	kitambo
pen	kalamu
cultivate	-lima
cremate	waka
burdensome	kulifu
daughter-in-law	mkwe
curious	pekuzi
frying pan	kaango
detention	usiri
fanny	kitako
sultan	sultani
delinquency	kisirani
quiz	mtihani
make out	-tambulisha
loofah	mdodoki
historical	-a kihistoria
Kazan	Urusi
Montreal	Montreal
Kurdish	kikurdi
break up	-pangua
tooth	jino
craft	mashua
smother	kufa
good	-zuri
enlarge	-kuza
quicksilver	zebaki
inflation	uvimbe
prune	-pogoa
Myanmar	Myama
tissue paper	chachi
Luxembourger	Mlasembagi
mailing list	orodha anwani
phoneme	mlio
soil	udongo
land	ardhi
expectorate	-tema
expert	bingwa
get	pata
turn	zamu
meager	kombora
liberation	mfunguo
barrel	pipa
newly	karibuni
abhor	-kirihi
stock	akiba
entry	mwingilio
abruptness	usukumizi
plait	-fuma
correspondence	uhusiano
leather	ngozi
shrimp	kamba
twinkle	-memeteka
whiting	choki
toilet paper	karatasi ya choo
hara-kiri	kujiua
Pole	Mpoli
deference	mnyenyekeo
matter	jambo
accommodation	malazi
pass through	-pitia
cushion	mto
apprenticeship	uanafunzi
machinery	chombo
reputation	sifa
imitate	kuiga
sector	sekta
unfair	jeuri
nucleus	kiini
anthrax	kimeta
penury	umaskini
singularity	uchache
muslin	shashi
middle age	makamu
crockery	dishi
over and over	kikariri
waterway	kilango cha bahari
Muslim	Mwislamu
fifth	ya tano
search engine	injini tafuti
gross national product	jumla ya pato la taifa
young man	kijana
fear	woga
shield	ngao
fever	homa
diagonal	ulalo
pseudonym	msimbo
triumph	ushindi
dejected	-juta
tasting	uonjaji
recovery	utengemano
thunder	ngurumo
banyan	mlandawa
irritability	unyeti
punch	-piga ngumi
childishness	utoto
diplomatic	kidiplomasi
Rwandan	Mnyarwanda
East Germany	Jamhuri ya Kidemokrasia ya Kijerumani
NASA	NASA
comprise	kuweza
smash	vunja
exit	toka
newborn	mchanga
equestrian	farisi
wine	divai
squeeze out	minya
accredit	kubali
extraction	akina
accompaniment	ufuasi
watermelon	tikiti
audacious	-jasiri
uninhabited	kame
might	enzi
exclamation	mdukuo
launder	-fua nguo
standing committee	kamati ya kawaida
mendelevium	mendelevi
promethium	promethi
Alps	Alpi
smoke	moshi
chaos	kesheshe
colonialism	ukoloni
improvement	nafuu
bigwig	mtu
celebration	sherehe
legation	ubalozi
punish	-adhibu
punishment	adhabu
calender	kalenda
cage	kirimba
prisoner	mfungwa
unearth	-fukua
oil palm	mchikichi
major scale	skeli ya do
Nalchik	Urusi
lifeguard	maisha askari
come out	-toka
Andrew	Andalea
temperance	kiasi
juice	jusi
aircraft	ndege
primary school	shule
three	tatu
certain	fulani
shape	umbo
passion	ashiki
composure	taratibu
racism	ubaguzi wa rangi
detest	chukia
renew	-thibitisha
plus	-jumlisha
lukewarm	fufutende
wander	-tembea
notion	dhana
opportunism	ubahatishaji
imam	imamu
sawtooth	jino la msumeno
sacrament	komunyo
write out	andika nje
dexterity	mzungu
strange	-geni
bomb	bomu
sour	chungu
wholesale	jumla
myrrh	manemane
signal	ishara
mucus	kamasi
avoid	-epa
hover	-angama
shelve	daka
exaggeration	shabaki
exhibition	maonyesho
kindergarten	chekechea
Libyan	Mlibya
Aramaean	Mwaramea
respectability	usharifu
notify	arifu
easel	bao la mchoraji
self-made	binafsi fanya
traffic jam	mfungamano wa magari
untruth	uwongo
generous	karimu
step	hatua
component	sehemu
swarm	bumba
trifle	mchezo
special	maalumu
gap	mwanya
indigenous	kienyeji
prompt	taslimu
positively	hakika
biting	mmego
compel	hoja
charity	sadaka
cucumber	tango
take down	-angua
archive	jalada
peaceful	tulivu
neap tide	mbande
survive	-pona
mealtime	pindi ya chakula
crumple	vungavunga
Maori	Kimaori
N	N
tan	rangi ya paa
break off	-katiza
make	-tengeneza
heat	joto
interval	nafasi
excellence	ubora
bold	chagina
crayfish	kamba wa maji baridi
enlargement	ongezo
quotation	ununuzi
villain	kibaraka
bathing suit	kiogeo
cylindrical	mshazari
trapper	msaka
intellectual property	uvumbuzi
lesbianism	usagaji
Tirana	Tirana
Amharic	Kiamhari
score	korija
store	duka
thirtieth	thelathini
switch	swichi
parasol	mwavuli
alike	sawa
conjugate	-nyambua
vinegar	siki
throat	koo
shudder	kipapa
rhythm	mahadhi
life belt	chelezo
capillary	kapilari
choking	mpalio
wanting	pungufu
tugboat	tishari
Castries	Castries
Moscow	Misko
decathlon	mashindano ya riadha ya wanaume
kettledrum	birika chapuo
result	tokeo
tax	kodi
fang	jino
pauper	kibapara
age	umri
tradition	desturi
blindly	kipofu
pus	usaha
mist	ukungu
annulment	tanguko
sirloin	salala
hart	ayala
Baffin Island	Kanada
sucker	mnyonyaji
force	nguvu
shake	-tikisa
UN	Umoja wa Mataifa
surprising	ajabu
ferment	-chacha
proceeds	mapato
wreck	gharika
building site	kiwanja
thicket	kichaka
quart	robo
brassiere	kanchiri
gleam	mulika
misty	kimaji
fidelity	ithibati
thrashing	kipigo
knead	kanda
stag	ayala
turner	mkereza
upchuck	tapishi
eyeglass	jicho bilauri
bicyclist	mwendesha baisikeli
Indonesian	Kiindonesia
Latin	Kilatini
despair	kukata tamaa
genealogy	jadi
vanish	-tokomea
academy	shule
kilogram	kilo
jinx	mshari
serenity	makini
swamp	bwawa
take back	-rudisha
pomelo	balungi
smut	kizimwe
tack	-bisha
liana	choki
governmental	-a kiserikali
colony	koloni
dragnet	jarife
racehorse	farasi wa mashindano
harmonica	kinanda cha mdomo
ghost town	ganjo
protection	himaya
exhale	-toa pumzi
straight	nyofu
courageous	gumu
lime	chokaa
immediately	sasa hivi
wart	dutu
chase	usasi
globetrotter	mzizimizi
executive	mtendaji
parsimony	choyo
martyrdom	ushuhuda
library	maktaba
biology	biolojia
heartburn	kiungulia
drop off	-umua
bream	changu
geometry	jometri
Gibraltarian	Mjibralta
Icelander	Mwaisilandi
pave	-sakifu
Shan	Tailandi
Filipino	Mfilipino
stupidity	ujinga
windstorm	kivumbi
inventor	mbuni
uniform	yunifomu
watch out	-jilinda
newness	upya
decay	kioza
owe	-wiana
apartment	fleti
proud	juujuu
genesis	ajili
avidity	pupa
slattern	mkoo
tarnish	-kutu
weaver	mfumi
Addis Ababa	Addis Ababa
Gaza	Gaza
bus	basi
for free	bure
sofa	sofa
European	Mzungu
affluent	tajiri
flair	uwezo
flirt	-bemba
infuriate	-udhi
divide	gawa
tare	turuhani
bacterium	bakteria
rowlock	kileti
restive	mkaidi
growth ring	pindi ya mti
economist	mchumi
newsstand	habari chaka
Persian	Kiajemi
juvenile	kijana
surpass	pita
pastor	kasisi
ripe	-bivu
fishing	uvuvi
ally	mwandani
pumpkin	boga
tenuous	-dogo
everlasting	azali
qibla	kibla
Saskatoon	Kanada
guffaw	kicheko
forefinger	kidole cha shahada
Old English	Kiingereza cha Kale
Wellington	Wellington
Germanic	Kijerumaniki
noise	kelele
consume	-la
cubit	dhiraa
temperature	moto
cat	paka
slowly	polepole
Portugal	Ureno
lubricate	-sirima
annotation	noti
zipper	zipu
unrestricted	shambiro
paginate	kurasisha
befool	pumbaza
slog	puma
occur	-tokea
Iceland	Iceland
meaning	maana
acuity	ukali
sketch	tarakibu
abide by	-fuata
adverb	kisifa
muscle	msuli
sovereignty	enzi
imperfect	pungufu
supermarket	supamaketi
World War II	Vita Kuu ya Pili ya Dunia
Gansu	Gansu
East Timor	Timor ya Mashariki
golfer	mcheza gofu
inflate	-puliza
mighty	chakari
adversary	mteteaji
creed	imani
pass off	kufa
municipality	manispaa
kindling	vidondo
saccharide	sukari
govern	-tawala
justify	-sadikisha
convenient	-a kufaa
quid pro quo	lukuma
vacuum cleaner	kifyonza
worth	karama
girdle	ukanda
abut	kitako
exhume	-fukua
personal pronoun	kiwakilishi nomino cha watu
platinum	platini
notice board	ilani kibao
amino acid	amino asidi
feeble	teketeke
therapy	dawa
newspaper	gazeti
mangle	-guruta
Rwanda	Rwanda
rebuke	suto
verify	-hakikisha
hank	kisa
feed	lisha
vein	mshipa
neutral	-baki
Brown	kahawia
pepper	pilipili
bone marrow	uboho
alembic	alembiki
Yellow Sea	Bahari ya Manjano
Somali	Msomali
penetration	mpenyezo
address	anwani
dear	mpenzi
porter	hamali
legal	halali
proclamation	ilani
discrepancy	tofauti
freely	huria
appreciate	-thamini
anvil	fuawe
bounce	kutikisa
beryl	zabarajadi
Aug	Ago
airplane	ndege
Bible	Biblia
furthermore	tena
acute	kali
series	mfuatano
wheelbarrow	ngolofimo
additionally	pia
flow	-tiririka
strengthen	-thibitisha
lush	-kuza
resemble	fanana
whisker	udevu
trainee	tarajali
booty	nyara
vomiting	utapishi
New South Wales	New South Wales
oboe	nzumari ndogo
caribou	karibuu
megahertz	megahezi
Kazakhstan	Kazakistani
panoply	uzuri
bilge	ngama
uncooked	-bichi
artful	janja
all along	sikuzote
limekiln	tano
kingship	ufalme
Leicester	Uingereza
cleanse	-futa
disclose	-onyesha
robbery	unyakuzi
aristocratic	kindakindaki
shipper	mpakizi
dick	mboo
epileptic	mwenye kifafa
Poland	Polandi
Bay of Bengal	Ghuba ya Bengali
opera	opera
chest	kifua
manager	meneja
bedstead	kitanda
compromise	masilahi
papaya	papai
England	Uingereza
monopolize	-kumba
eaves	mchirizi
dampen	-fifia
syndicate	shirikisho
coagulation	mgandisho
balsam	zeri
pontoon	bunta
bonobo	bonobo
Philippines	Ufilipino
praying mantis	vunjajungu
oxide	oksaidi
Swede	Mswidi
foot	mguu
fashion	mtindo
account	hesabu
loincloth	nguo
discovery	ubuni
dearest	upendo
enrage	-chocheleza
alteration	ugeuzi
druidism	ujia
sphere	mviringo
speaker	spika
predecessor	mtangulizi
indignation	mwao
enlist	-ajiri
disregard	-dharau
glow	uangavu
obtuse	butu
cadmium	kadimi
New Zealand	Nyuzilandi
dissipate	-towesha
elucidation	uelezaji
eucalyptus	mkalitusi
e	E
beautify	-remba
coach	kocha
vixen	mbweha
anteater	loma
grid	mlango
resolve	dhati
Isaac	Kiyahudi
imposition	kodi
deterioration	wozo
icing	barafu
collector	mkusanya
nod	-kupia
violence	dhara
heroism	ushujaa
intruder	kizushi
small intestine	jengelele
shave	nyoa
North Pole	jahi
oystercatcher	kizamiachaza
pollination	uchavushi
sustainability	uendelevu
menagerie	bustani ya wanyama
jar	chupa
drone	nyuki
Kenya	Kenya
fountain	mbwoji
goatherd	mfugaji
bone	mfupa
scrofula	mlezi
turn over	-viringisha
dull	butu
falsify	-saliti
look forward	ngoja
eternally	milele
crayon	chaki
hybrid	suriama
resurrect	-fufua
Wales	Welisi
Yahweh	Yehova
irk	kusumbua
Serbian	kiserbia
appearance	sura
shears	mkasi
big	-kubwa
rotten	-bovu
from time to time	mara kwa mara
nuance	rangi
adjective	sifa
orientation	urekebisho
larynx	dundumio
tenant	mpanga
vest	fulana
stuffing	mshindilio
contents	ridhi
unrelated	ajinabi
Saint Petersburg	Sankt Peterburg
scrimmage	msokosuko
prosecutor	kiongozi wa mashtaka
ASEAN	Umoja wa Nchi za Asia ya Kusini-Mashariki
relax	-tulia
fruitless	bure
pass	kupita
fame	umaarufu
sea cucumber	kiazi
executioner	mchinja
fraction	sehemu
platform	dungu
Eritrea	Eritrea
angel	malaika
donkey	punda
caravan	charo
maiden	mwali
tick	kupe
puzzling	-gumu
tempt	-shawishi
proficient	-arifu
gem	johari
debilitate	-hafifisha
Cotonou	Cotonou
Navajo	Kinavaho
swan	bata-maji
herder	mchungaji
tub	mfuko
double	maradufu
notwithstanding	ingawa
she-goat	mbuzi
rainwater	maji ya mvua
image	sanamu
extinguish	-zima
thief	mwizi
quarrelsomeness	ubishi
frugal	wekevu
eviscerate	-tumbua
delta	mto wa mkono
demur	-dakuliza
retrieve	-itisha
tamarind	ukwaju
incendiary	mchomaji
save	-okoa
a little	kidogo
flying fish	panzi
remember	kumbuka
canoe	ngalawa
dejection	soda
downpour	muda tu
tasty	-zuri
clip	-lenga
diction	usemi
visa	viza
spoilt	via
impeachment	madai
human right	haki ya binadamu
fondle	-ingia maungoni
Nicaragua	Nikaragwa
space	nafasi
build	kujenga
like	kama
crew	taifa
Europe	Ulaya
replica	jibu
coupling	kiungo
level	sawa
void	tupu
vow	agano
water level	pimamaji
revere	-stahi
precipitation	hima
leaven	chachu
scrag	nyonga
hunchback	kibiongo
discuss	-jadili
avoidance	haramu
unfortunately	kwa bahati mbaya
optical disc	diski
flea	kiroboto
lava	lava
birth certificate	cheti cha kuzaliwa
penguin	pengwini
funeral home	mochari
journal	jarida
purse	pochi
miracle	ajabu
fierce	-kali
orderliness	usafi
leaseholder	mwenye
knocker	gongo
felt	kitambaa gandamizo
scan	-chuja
new moon	mwezi mwandamo
eardrum	kiwambo cha sikio
Basseterre	Basseterre
maintain	-chukua
squall	dhoruba
pertain	kuangalia
executor	mtekelezaji
epidemic	kipukusa
Bangla	Bara Hindi
shoulder	bega
stubborn	kakamizi
yearning	hawa
vacation	likizo
resemblance	shabaha
badly	vibaya
get dressed	-vaa
purr	-koroma
bracket	kifungo
licorice	susu
extraordinarily	-a ajabu
saddlebag	shogi
theology	teolojia
kurta	Bangladeshi
boron	boroni
Nebraska	Nebraska
plainly	kinaganaga
turn up	-peta
alien	ajinabi
right	sahihi
read	soma
instead	kumbe
Republic of Equatorial Guinea	Jamhuri ya Guinea ya Ikweta
sand	mchanga
decimal	mwongo
listen in	sikiliza katika
arduous	zito
uplift	-inua
accidentally	kwa nasibu
bravado	ujasiri
cohabitation	uhawara
pilferage	wizi
terse	-fupi
stoop	-bongʼoa
nincompoop	juha
excretion	pumba
painter	mpaka rangi
investor	mwekezaji
web page	tovuti
Abidjan	Abidjan
northern lights	miali ya kaskazini ya dunia
set up	-ondoka
botch	-boronga
universe	ulimwengu
seat	kiti
Belarus	Belarusi
ill	-gonjwa
Kalamazoo	Marekani
inauguration	zinduo
pronounce	-tamka
affiliate	tanzu
pigtail	msuko
squint	-pepesa macho
subscription	chango
gasp	-achama
Hera	Hera
cupcake	keki za vikombe
tulip	tulipu
contrary	kinyume
sadden	-huzunisha
display	zinzo
storm	dhoruba
Nagano	jicho
call	mwito
empower	-wezesha
ultimately	mwisho
escarpment	ngome
bunch	shada
idleness	uvivu
emerald	zumaridi
confirmation	undani
spinach	mchicha
gouge	ngabu
Sunni	suni
cellulose	mirabaraba
physics	fizikia
public opinion	maoni ya wananchi
timeserver	mkereza
Tokyo	Tokyo
format	fomati
ornament	pambo
output	zao
connect	-unga
slender	-embamba
now and then	mara kwa mara
zenith	mwisho
lodge	-fikia
administrator	mkabidhi
orator	msemaji
foremost	awali
eloquence	fasaha
snack	kumbwe
boiling	chemko
American Samoa	Samoa ya Marekani
quartz	kwatsi
floodgate	jicho
spot	doa
academic	mwanafunzi
lozenge	kidonge
foundry	kiwanda
wager	sharti
prescribe	-amuru
belittle	-rahisi
inertia	inesha
Libreville	Libreville
legendary	-a kihekaya
White Sea	Bahari Nyeupe
Stone Age	Zama za Mawe
fence	ua
wrap	-tatia
fault	kosa
thanks	asante
toil	taabu
ostler	hoteli
harvesting	uvuno
curry	mchuzi
contradict	-pinga
disobey	asi
communication	mawasiliano
fill out	-jaza
rowing	safu
caterpillar	kiwavi
chrysalis	bundo
standard of living	hali ya maisha
elephantiasis	tende
minesweeper	mlipuaji wa baruti
longitudinally	kingoringori
paprika	pilipili mbuzi
Romanian	Kiromania
trademark	chapa
mourning	kilio
bump	-kwaa
homogeneous	moja
cyst	chungu
ballpoint pen	kalamu
meshwork	wavu
foggy	ukungu
phenomenon	ishara
smallpox	ndui
microorganism	kidubini
Alaska	Alaska
irritate	-tusha
world	dunia
thunderstorm	dhoruba
word	neno
official	rasmi
union	shirikisho
bearing	tambo
make sense	fahamu
jib	jibu
rock	mwamba
outrigger canoe	ngalawa
clearly	wazi
satisfaction	uradhi
breadfruit	fenesi
gesticulate	-punga mikono
illuminate	-angaza
windfall	dafina
first aid	huduma ya kwanza
vermilion	nyekundu
transition	ukiuaji
concentrate	kufikiria sana
afterward	kisha
climate	hewa
average	wastani
road	njia
energetic	hodari
conservation	mlinzi
Easter	Pasaka
skip	ruka
obstacle	kipingamizi
productivity	utendaji
arrowroot	wanga
prism	mche
desperation	ujeuri
dizziness	kizunguzungu
lawrencium	lawirensi
concept	ono
beetroot	tini
South China Sea	Bahari ya Kusini ya China
Stuttgart	Stuttgart
Ephesians	Waefeso
deodorant	kuondoa harufu
set	-chwa
fraud	ghashi
maize	muhindi
globe	tufe
capital	mji mkuu
entire	kila
candela	mshumaa
squash	boga
veer	-zinga
seducer	fisadi
infidelity	makufuru
embezzlement	wizi
privatize	-binafsisha
pentagon	pembetano
Jutland	Jutland
Genesis	Mwanzo
farsighted	mbali uoni
Aristotle	Aristoteli
pedagogy	uwalimu
obligation	faradhi
goodbye	kwa heri
cousin	binamu
Kurdistan	Armenia
slick	barabara
orangeade	chini
clarify	-onyesha
succeed	fanikiwa
blight	koga
barn owl	bundi babawatoto
retirement	faragha
grapnel	kulabu
migratory	hamaji
gelding	mhasi
pretentious	shau
Honiara	Honiara
testify	kushuhudia
professor	mwalimu
unit	sehemu
capitalism	ubepari
capitalist	bepari
sew	-shona
of course	naam
worry	dukuduku
estimate	-kisia
dill	bisari
unbeliever	kafiri
merry	chale
dockworker	kuli
mustard	mastadi
microphone	kipaza sauti
stepmother	mama wa kambo
Black Sea	Bahari Nyeusi
well-read	afadhali soma
Old Norse	Kidenmarki
clash	-pambana
poverty	umaskini
gay	msenge
mountain	mlima
folk	watu
tornado	tufani
brotherhood	udugu
sandbank	fungu
stigma	tua
vestibule	ukumbi
carver	mjume
bedspread	firashi
Guinea	Gine
astatine	astatini
power station	kadiri kituo
self-interest	binafsi masilahi
Holy See	Ukulu mtakatifu
pretzel	pretseli
hurry	haraka
underwear	chupi
norm	kawaida
feat	kazi
grove	kituka
schooling	chuo
kilometre	kilometa
liquor	pombe
intrigue	kitimbi
provide	-auni
advocacy	uwakili
splice	-ganga
Atlantic	Atlantiki
gourmet	mwenye kidomo
jab	mdukuo
glutton	mlafi
Port-au-Prince	Port-au-Prince
Tegucigalpa	Tegucigalpa
burrito	mkate wa kimeksiko uliowekwa nyama au maharage ndani
maul	kupapura
Habakkuk	Habakuki
trade	biashara
trash	taka
stuff	-shindilia
pint	painti
spinster	mjane
obliterate	-futa
tolerate	-stahimili
evaporation	mvuke
corridor	ukumbi
speckled	marakaraka
archdiocese	jimbo kuu
Colombia	Kolombia
Mauritian	Mmorisi
palladium	paladi
green gram	pojo
South America	Amerika Kusini
Nouakchott	Nouakchott
purpose	nia
break in	-bokoa
hoe	jembe
prong	jino
fruit	tunda
advice	shauri
newscast	habari
absolute	kamili
announce	-tangaza
water tap	mrizabu
uvula	kilimi
incorporate	-shirikisha
meter	mita
fatherland	watani
martin	kinegwa
window frame	turusi
applet	apuleti
slack	legevu
gnaw	-guguna
nutrition	lishe
stupid	chege
track	unyayo
plague	tauni
court	mahakama
unhappy	hafifu
fisher	mvuvi
wire	waya
enigma	tambo
corncob	kibunzi
revelation	ufunuo
specimen	kiolezo
sunbeam	mwonzi
ideology	itikadi
oracle	aguzi
Anatolia	Anatolia
prayer book	dua kitabu
psi	pauni kwa kila inchi mraba
twentieth	ishirini
moron	mjinga
wait	ngoja
dampness	ukungu
Leeds	Leeds
restoration	maongozi
thigh	paja
wedge	kishiku
patent	leseni
minaret	mnara
opium	afyuni
office boy	ofisiboi
groin	kinena
fortify	-tia boma
pepper pot	pilipili chungu
Joshua	Yoshua
Zephaniah	Sefania
intentional	makusudi
gratification	anasa
stool	kigoda
table	meza
kinsman	ndugu
grammar school	nahau chuo
teat	titi
tend	kuchunga
US	Marekani
hearing	maulizo
delegate	kaumu
autonomy	kujitawala
summon	-ita
faultless	nakawa
commercial	-a kibiashara
tidal wave	maji maundifu
Basra	Basra
Jan	Jan
secure	salama
dismissal	kitanguo
oppressor	dhalimu
season	majira
above	juu
web	utando wa buibui
visitor	mgeni
reject	-kana
camping	kambi
narrator	msema
climber	mpanda
safeguard	hifadhi
supercilious	juvi
Muhammad	Muhammad
trampoline	bao la kuruka
slough	-jipapatua
prawn	uduvi
shoe polish	dawa ya viatu
advantage	faida
gas	gesi
summer	kiangazi
big toe	gumba
governess	mlezi
boar	nguruwe dume
serpent	nyoka
stadium	uwanja
invention	uzushi
verdict	uamuzi
nuisance	udhia
set off	-alisha
koumiss	maziwa ya farasi
hajj	hajj
etymology	etymologi
Red Sea	Bahari ya Shamu
family	jamaa
bullet	risasi
traffic	kufa
buffalo	nyati
calendar year	mwaka
hazard	hatari
ides	Julai
motor	mota
lover	mpenzi
dopamine	uwezo
hasten	-himiza
shock	mkutuo
tape recorder	rekodi
concise	-fupi
railroad	reli
schism	mgawanyiko
mushroom	uyoga
reaper	mvuni
saltpetre	shura
civilise	elimishasw
tuber	kinundu katika mzizi wa mmea
lemonade	maji ya limau
alphabet	alfabeti
return	-rudi
drowsiness	lepe
white	-eupe
wrapper	blanketi
salty	chumvi
Friday	Ijumaa
reservoir	tangi
faction	farakano
steep	-bambika
hooker	kahaba
combination	muungano
flipper	kikono
unbelief	ukafiri
sap	utomvu
emery paper	msasa
supposititious	bandia
Old Testament	Agano la Kale
small-minded	mchoyo
Nazarene	Mnasara
African-American	mnegro
Yemen	Yemeni
zucchini	boga dogo
halt	-telekeza
disturb	-chafua
consternation	uvuguvugu
sleepiness	usingizi
hollow	tundu
sickness	ugonjwa
nest	kiota
game	mchezo
cultivator	mlimaji
inventory	orodha
ministry	wizara
dissolve	-yeyuka
commiserate	-hurumia
tight	kubana
ice cream	aiskrimu
corduroy	mahameli
iridium	iridi
theologically	kiteolojia
Malaysia	Malesia
restart	washa upya
windscreen	homu kinga
Bulgarian	Kibulgaria
lock	kitasa
best	bora
porthole	shubaka
honour	heshima
Liberia	Liberia
reduced	pungufu
adjust	-suluhu
adulation	urai
basement	msingi
pillar	nguzo
forum	ukumbi
century	karne
jackass	juha
cross out	msalaba nje
bridegroom	bwanaarusi
night blindness	kiwe
constipation	choo yabisi
venom	sumu
surface	wajihi
spend	-toa
uselessly	bure
settle	-kaa
nipple	titi
Republic of Bulgaria	Jamhuri ya Bulgaria
courtesy	jamala
Niger	Niger
inhabit	-kaa
besiege	-teka
retinue	mfuatano
politician	mtu wa siasa
nervousness	utukutu
Bihari	kibihari
boiler	hodhi
warlike	-a kivita
highwayman	pakacha
date palm	mtende
pink	pinki
agglutination	uambishaji
overawe	ukalili
look on	tazamo juu
Hawaiian	Kihawai
wombat	wombati
logo	nembo
similarly	kadhalika
do away with	-katiza
body louse	chawa
circumstance	hali
semblance	uso
Cape Town	Cape Town
running	mbio
shot	sindano
flattery	sifa
emerge	-jitokeza
procrastination	uajizi
calendar	kalenda
stinginess	choyo
shipping	ubaharia
catapult	manati
cardinal	kadinoli
manifestation	udhahiri
shinbone	goko
comical	cheshi
flotsam	kieleaji
Mauritanian	Mmoritania
chewing gum	tafuna ambo
collision	mpambano
snap	-twanga
debase	-dhili
twist	-sokota
promise	ahadi
troop	kikosi
card	kadi
deep	-refu
coffeehouse	mkahawa
briefcase	pochi
Syria	Syria
buttock	tako
stimulus	usukumizi
behoove	-juzu
pulley	kapi
initiation	malango
seashell	kombe
mammary gland	kiwele
purloin	-iba
podium	kinara
transparency	uangavu
incorrect	kosefu
tibia	muundi
hammer throw	kurusha nyundo
galaxy	galaksi
rent	kodi
hold	-shika
injure	-jeruhi
grass	nyasi
sum	jumla
fright	hofu
leech	mruba
watchdog	mbwa
rocket	roketi
warning	onyo
thick	-nene
express	tamka
pile up	-tuta
applaud	-shangilia
appetizing	-tamu
glory	adhama
go on	-endelea
fin	pezi
ferrule	noleo
atheist	kafiri
filter	chuja
high tide	maji kujaa
bromine	bromi
publisher	mchapaji
Yemeni	Myemeni
irrigation	umwagiliaji
Sahara	Sahara
Norfolk Island	Kisiwa cha Norfolk
half sister	kizio dada
self-service	jihudumie mwenyewe
babe	mrembo
interlace	changanya
publish	-toa
cutoff	mkato
person	mtu
object	kitu
Mon	Jumatatu
whip	kambaa
roof	paa
pan	sufuria
misuse	-poteza
obey	-tii
Blackpool	Uingereza
