adjudicate	mengadili
gap	celah
crumple	lecek
positively	jelas
wanted	kesayangan
restrict	larang
take down	bantai
indigenous	asli
N	N
charity	amal
compel	paksa
untruth	dusta
querulousness	mengeluh
cucumber	mentimun
serviette	serbet
Maori	Maori
biting	pedas
trifle	main-main
tan	menyamak
to wit	yakni
potential energy	tenaga potensial
mealtime	waktu makan
neap tide	surut terendah dalam setahun
Orpheus	Orfeus
Newcastle disease	Penyakit Newcastle
salivary gland	kelenjar ludah
Sorbian	Sorbia
make	membuat
heat	panas
preceding	bekas
bogus	gadungan
bold	berani
interval	jarak
momentum	ajakan
intellectual property	kekayaan intelektual
quash	membatalkan
break off	mematahkan
constructive	konstruktif
bathing suit	pakaian renang
enlargement	pengembangan
villain	penjahat
crayfish	udang karang
delighted	beruntung
undulation	gelombang
excellence	keunggulan
quotation	kutipan
spline	bilah
disciplinary	disiplin
cylindrical	silindris
sleet	hujan es
paperweight	penindih kertas
hubris	keangkuhan
Tirana	Tirana
repaint	mewarnakan
mambo	mambo
sensitize	memeka
lesbianism	lesbian
moorland	mur
Sierra Nevada	Sierra Nevada
Amharic	Amharik
score	banting
store	toko
perfidy	penghianatan
vinegar	cuka
alike	persis
throat	kerongkongan
switch	tombol
preternatural	tak dapat dijelaskan
Moscow	Moskwa
parasol	payung
dun	tandus
wanting	kurang
shudder	terkejut
selfsame	tak dapat dibedakan
sign language	bahasa isyarat
rhythm	ritme
touched	kasihan
softhearted	simpatik
decathlon	dasalomba
busty	montok
choking	pencekikan
churchwarden	koster
epochal	epocal
matron	ibu muda
inflorescence	susunan bunga di tangkai
ibis	ibis
capillary	kapiler
photometer	pengukur cahaya
tugboat	kapal penarik
conjugate	menaklukkan
Castries	Castries
thirtieth	ketigapuluh
age	umur
heating oil	bahan bakar
piffle	berkicau
result	hasil
sucker	tolol
black-market	gelap
mist	kabut
Baffin Island	Kanada
tradition	tradisi
soiled	kotor
sailing	layar
pauper	miskin
tax	pajak
fleeting	fana
oscillation	osilasi
Guadalajara	Guadalajara
annulment	penghapusan
Samaria	Samaria
festoon	kalung bunga
pus	nanah
CV	ringkasan
teething ring	puting
fang	siung
responsive	reaktif
unavailable	tak bisa dioperasikan
bisection	pembagian dalam dua bagian
causality	yang menjadi penyebab
sirloin	daging pinggang
Merovingian	Dinasti Meroving
myeloma	mieloma
carbonyl	karbonil
gleam	kilat
thrashing	balasan
ferment	berakhir
knead	meramas
brassiere	kutang
discreet	hati-hati
bristle	bulu
force	paksa
daredevil	senang bertualang
fidelity	kesetiaan
proceeds	hasil kemenangan
garrison	garnisun
eyeglass	lensa
exceptional	ganjil
surprising	heran
shake	mengguncang
muffle	menahan
upchuck	menebar
buttress	punggung gunung
wreck	bongkar
winter solstice	musim dingin
UN	Perserikatan Bangsa-Bangsa
hysteresis	penundaan
chastely	semata-mata
thicket	belukar
stag	daging rusa/menjangan
depository	tempat menyimpan
propulsion	dorongan
dishevel	menyulitkan
misty	berasap
quart	0,9 liter
gauss	gauss
turner	tukang bubut
allophone	anggota fonem yang sama
bicyclist	pesepeda
downward	menurun
choreography	koreografi
Corvus	Corvus
Indonesian	bahasa Indonesia
Latin	Latin
swamp	rawa
tack	paku
dark-skinned	remang-remang
vanish	hilang
harmonica	harmonika
pomelo	jeruk bali
take back	makan
humdrum	membosankan
Manhattan	New York
riffraff	rakyat jelata
despair	sedih
academy	akademi
smut	arang
insulin	insulin
serenity	ketenangan hati
governmental	bidang pemerintah
disused	purnawirawan
jinx	mengancam
overstate	melebih-lebihkan
developer	pembangun
unfathomable	tak berdasar
kilogram	kilogram
repertoire	perbendaharaan lagu
colonist	penduduk baru
colony	jajahan
racehorse	kuda pacuan
pontificate	khotbah
proviso	syarat
dragnet	jaring
liana	tali hutan
apocryphal	diragukan kebenarannya
complicity	keterlibatan
salt shaker	tempat garam
ablation	pemotongan
genealogy	genealogi
Albany	Albany
protection	lindung
pave	aspal
exhale	mengembus
biology	biologi
immediately	segera
drop off	jatuh
lime	kapur
straight	lurus
chase	mengejar
Shan	Shan
library	perpustakaan
executive	aba-aba
courageous	berani
martyrdom	penganiayaan
gardener	tukang kebun
geometry	geometri
duress	gelisah
parsimony	sifat hemat
heartburn	maag
wart	kutil
irreversible	tidak dapat diubah
categorical	pasti/mutlak
sarcophagus	peti mayat dari batu
life-style	gaya hidup
ghost town	kota mati
anthropologist	antropolog
icily	dengan tanpa kasihan
vitamin E	vitamin e
windstorm	badai
watch out	awas
proud	bangga
decay	busuk
burr	duri
Filipino	Filipino
owe	berhutang
Gaza	Jalur Gaza
avidity	hasrat
prise	memandang
genesis	mulai
apartment	apartemen
squinch	menghindari
slattern	pelacur
flight attendant	pramugari
uniform	seragam
inventor	penemu
tranquilizer	obat penenang
unmanned	bertingkah seperti wanita
tarnish	mencemari
spastic	terlalu aktif
churchgoer	anggota jemaah gereja
weaver	penenun
zombie	zombie
stupidity	kebodohan
autoclave	pensteril
sportsmanship	sikap sportif
erratum	salah cetak
red meat	daging berwarna merah
Nanchang	Nanchang
Addis Ababa	Addis Ababa
Hudson Bay	Teluk Hudson
anchorman	pembaca berita
paraffin wax	lilin parafin
savory	asin
consistence	badan
flair	keserasian
bacterium	bakteri
for free	bebas biaya
crystal clear	bening
bus	bis
sofa	sofa
infuriate	membuat marah
divide	membagi
psychological	psikologis
flirt	rama-rama
restive	takut
cuboid	balok
European	Eropah
affluent	mapan
formation	organisasi
entangled	tersembunyi/terkandung
dilemma	dilema
economist	ekonom
ham it up	membesar-besarkan
autograph	tanda tangan
reconnoitre	memandu
photometry	fotometri
derived function	derivative
plutocracy	pemerintahan oleh orang kaya
anaerobe	anaerob
chromosphere	kromosfer
glossolalia	bahasa roh
Persian	Persia
juvenile	muda
also known as	atau
ripe	matang
everlasting	kekal
surpass	untung
forefinger	jari telunjuk
perceptible	dapat dinilai
Saskatoon	Kanada
ally	bersekutu
tenuous	kecil
euphoria	suka cita
observant	selidik
gut	usus
Old English	Inggris Kuno
Yakut	Yakut
pastor	pendeta
pumpkin	labu
misanthropic	sinis
short-term	jangka pendek
general practitioner	dokter umum
oxidation	oksidasi
bodice	baju kutang
centrifuge	pemusing
second gear	perseneling kedua
prudishness	kekenesan
guffaw	gelak tawa terbahak
croquette	kroket
fishing	penangkapan ikan
withers	gumba
Wellington	Wellington
Bronx	Bronx
qibla	kiblat
consume	makan
burgher	borjuis
flowerpot	pot bunga
noise	bunyi
confluence	kuala
cat	kucing
dual	ganda
boulevard	jalan
slowly	pelan-pelan
flimsy	goyang
befool	menipu
zipper	ritsleting
duet	pasang
Portugal	Portugal
sundae	es krim
semiconductor	semikonduktor
remonstration	keberatan
annotation	komentar
cubit	dzira'
temperature	suhu
myna	beo
unnoticed	tak ketahuan
lubricate	menyemir
semiannual	dua kali setahun
unrestricted	tak terkendalikan
repression	pengekangan
per se	yang didalam
passivity	kepasifan
astrological	astrologi
as much as possible	sebisanya
slog	bertualang
Times Square	Times Square
ghetto	kampung yahudi
meaning	arti
occur	terjadi
Iceland	Islandia
sovereignty	kedaulatan
chemical substance	kimia
sketch	kelim
dingy	kotor
vermin	binatang kecil pengganggu
imperfect	tidak sempurna
abide by	memegang . erat-erat
presage	meramalkan
muscle	otot
hunting lodge	pondok
World War II	Perang Dunia II
East Timor	Timor Timur
adverb	kata keterangan
supermarket	supermarket
acuity	tajam
fossa	lekuk
Bohemian	bohemian
golfer	pegolf
payer	pembayar
vinyl	vinil
electric motor	motor elektrik
unit of measurement	unit
Gansu	Gansu
hemiplegia	hemiplegia
creed	agama
justify	alasan
inflate	berkembang
convenient	cocok
saccharide	gula
worth	harga
fatal	fatal
municipality	kota
adversary	musuh
pass off	berlangsung
govern	memerintah
counterbalance	mencocokkan
girdle	ikat pinggang
exhume	menggali
mighty	kaya
abut	berbatasan dengan
prerequisite	syarat
platinum	platina
silicone	silikon
attributable	dianggap disebabkan oleh
symbiotic	simbiotik
durance	hukuman penjara
waterbird	burung air
taximeter	argometer
vacuum cleaner	penyedot debu
amniotic fluid	perairan
pragmatism	pragmatisme
personal pronoun	kata ganti orang
string quartet	kuartet gesek
tableau	tablo
aft	buritan
parhelion	perihelion
amino acid	asam amino
kindling	umpan api
Holy Saturday	Sabtu Suci
vein	urat
sedate	aman
feed	memberi makan
neutral	netral
helminth	cacing
fond	suka
feeble	uzur
newspaper	koran
pepper	lada
rebuke	tegur
verify	menjaga
mangle	memotong
fire-eater	pemadam kebakaran
Rwanda	Rwanda
bone marrow	sumsum tulang
Swiss Confederation	Swiss
machine code	bahasa pemrograman
hank	benang
Yellow Sea	Laut Kuning
therapy	obat
perusal	pembacaan
waistline	pinggang
barbiturate	obat penenang
heavenly	surgawi
Cenozoic	Kenozoikum
orca	seguni
blood plasma	plasma darah
requiem	nyanyian pemakaman
bacteriologist	ahli illmu bakteri
Brown	Brother
Dido	Dido
psittacosis	ornitosis
alembic	alembic
Somali	Somali
Aug	Agt
address	alamat
appreciate	berterima kasih
dear	mahal
acid rain	hujan asam
bounce	melambungkan
rapprochement	perdamaian
penetration	serangan
legal	legal
thence	dari sebab itu
cider	minuman dari buah apel
baste	memukul
arraign	menyalahkan
discrepancy	penyimpangan
proclamation	maklumat
acutely	sangat
virology	virologi
porter	kuli
anvil	landasan
transference	pemindahan
skiing	ski
masochist	seorang suka menderita
rowan	pohon rowan
incus	besi landasan
phenotype	fenotipe
patriarchy	patriliniet
calque	mengusut
Virgo	Virgo
archly	dengan malu-malu
freely	tanpa alasan
solipsism	solipsisme
Assyria	Asiria
Romeo	Romeo
beryl	beril
Bible	Alkitab
flow	mengalir
acute	lancip
lush	pemabuk
illicit	gelap
additionally	sambung
furthermore	apalagi
oboe	obo
resemble	mirip
discombobulation	kekacauan
whisker	kumis
vomiting	muntah
New South Wales	New South Wales
incumbent	pejabat
airplane	pesawat terbang
Berber	Berber
dreaded	mengerikan
pasteurize	mensterilkan
strengthen	memperkuat
linear perspective	perspektif
carnal knowledge	persetubuhan
series	rangkaian
trainee	plonco
booty	jarahan
waterproof	tahan hujan
entomologist	ahli serangga
torturer	penganiaya
megahertz	megahertz
wheelbarrow	gerobak tangan
diaeresis	umlaut
blood sausage	black pudding
caribou	karibu
Limousin	Limousin
Chernobyl	Chernobyl
neutralization	netralisasi
hydrate	hidrat
dick	burung
angelic	seperti orang suci
epileptic	epilepsi
nasal	orang dengan limpa bengkak
Kazakhstan	Kazakhstan
artful	cerdik
disclose	menyingkapkan
cleanse	membersihkan
uncooked	mentah
rebirth	pertukaran
Poland	Polandia
Dubrovnik	ragu-ragu
m	M.
all along	selalu
ecumenical	ekumenis
aristocratic	aristokratis
opera	opera
bight	teluk
buckshot	peluru
shipper	pengirim
elite	elit
bilge	lambung
robbery	perampokan
nameless	tanpa nama
counterfactual	tak benar
monolith	monolit
haematology	hematologi
Leicester	Leicester
Persepolis	Persepolis
Bay of Bengal	Teluk Benggala
Pangaea	Pangea
kingship	kewangsaan
nonprofit	nirlaba
infantile	bayi
concurrent	bersama
Philippines	Filipina
England	Inggris
monger	jual
chum	teman sekelas
manager	manajer
chest	dada
dampen	membasahi
monopolize	monopoli
seventhly	tujuh
eaves	balok
balsam	balsem
compromise	melibatkan
variance	penyimpangan
bedstead	tempat tidur
papaya	pepaya
thinker	pemikir
syndicate	sindikat
duke	adipati
Massachusetts	mak
coagulation	pembekuan/pengentalan
mortality	tingkat kematian
insemination	pembuahan
house arrest	tahanan rumah
New World vulture	Hering Dunia Baru
Bavarian	Bavaria
oxide	oksida
body mass index	indeks massa tubuh
bonobo	bonobo
glow	bersinar
account	rekening
bluish	biru
sphere	bola
foot	kaki
loincloth	cawat
dearest	paling menyayangi
fashion	gaya
dissipate	hilang
retain	melindungi
obtuse	tumpul
indignation	perasaan amarah
enlist	masuk
stick up	menahan
disregard	menelantarkan
alteration	pergantian
New Zealand	Selandia Baru
Swede	Swedia
predecessor	pendahulu
futile	tak berguna
speaker	speaker
gnarl	berbisik
discovery	penemuan
elucidation	penjelasan
firebug	pembakar
wizen	melayukan
broccoli	brokoli
e	E
spiritually	secara internal
eucalyptus	kayu putih
cadmium	kadmium
tapestry	warna-warni
clothesline	tali jemuran
enrage	dengan marah
cuscus	kuskus
lesser panda	panda merah
vixen	bidadari
coach	gerbong
sinister	gelagat buruk
violence	perkosa
resolve	memecahkan
shave	mencukur
menstrual cycle	menstruasi
deterioration	kebobrokan
grid	pintu
Isaac	Isak
nod	angguk
mundane	sehari-hari
imposition	pajak
menagerie	kebun binatang
small intestine	usus halus
beautify	mempercakapkan
heroism	kepahlawanan
dissembler	munafik
categorize	perspektif
huffy	jengkel
anteater	tenggiling
nominal	sebagai gelar saja
certifiable	dapat diandalkan
appreciable	pantas dipertimbangkan
collector	pengumpul
apse	apse
causation	yang menjadi penyebab
table tennis	tenis meja
lingo	jargon
pollination	penyerbukan
North Pole	Kutub Utara
stocktaking	inventori
sabot	geta
Fourier series	Deret Fourier
cardiology	kardiologi
Zeno	Zeno
icing	embun beku
resurrect	bangkit
bone	tulang
dull	tumpul
formulate	berkata
turn over	serahkan
Kenya	Kenya
fountain	air mancur
falsify	meniru
Yahweh	Yahweh
Vietnam War	Perang Vietnam
Wales	Wales
eternally	senantiasa
jar	bak
hybrid	campuran
look forward	menanti
irk	mengganggu
flagstone	papan
shop assistant	penjual
anachronism	tidak pada saat yang tepat
swoon	pingsan
exhaust system	knalpot
drone	dengung
peremptory	dogmatik
cranesbill	sejenis bunga
greyhound	anjing greyhound
crayon	kapur tulis
exhumation	penggalian mayat
lexicology	leksikologi
antiquary	ahli/saudagar barang kuno
milkmaid	pemerah susu
encapsulate	mengurung
Kaluga	Kaluga
NW	Barat Laut
scrofula	struma
Serbian	bahasa Serbia
big	besar
contents	isi
rotten	busuk
irascible	mempunyai gejala sakit lever
spry	cepat
appearance	rupa
shears	gunting
aureole	praba
manoeuvre	hidup
orientation	arah
mantel	mantel
vest	singlet
People's Republic of China	Republik Rakyat Tiongkok
adjective	kata sifat
from time to time	adakalanya
stillborn	lahir mati
stuffing	sosis
tenant	penyewa
purview	ufuk
Chichewa	Chewa
air conditioning	AC
mite	tungau
larynx	laring
chamberlain	bendaharawan
prosecutor	jaksa
nuance	nuansa
gangling	tungkai
allele	alel
Saint Petersburg	St. Petersburg
continental shelf	paparan benua
bleeding	pendarahan
ASEAN	ASEAN
nephritis	nefritis
swan	angsa
proficient	ahli
platform	balei-balei
pass	lewat
simultaneous	sekaligus
angel	malaikat
maiden	perawan
tick	kutu
Eritrea	Eritrea
chopper	helikopter
gem	ratna
donkey	keledai
preclude	cegah, mencegah
relax	mengendurkan
bald-headed	licin
tempt	menggoda
bespeak	membutuhkan
absorbent	penyerap
linchpin	tulang belakang
fruitless	mandul
fame	terkenal
Navajo	Navajo
fraction	pecahan
executioner	algojo
caravan	kafilah
puzzling	membingungkan
sea cucumber	teripang
populist	demokrat
ptarmigan	burung buas zaman dahulu
crypt	gereja bawah tanah
pantograph	alat pembesar gambar
Caelum	Caelum
redirect	mengalihkan jurusan
debilitate	melemahkan
Bactrian camel	Unta Baktrian
Cotonou	Cotonou
Dorado	Dorado
Narcissus	Narcissus
tamarind	asam
notwithstanding	kalaupun
image	patung
frugal	hemat
double	lapis
extinguish	padam
rainwater	hujan
retrieve	mendapat balasan
demur	keberatan
muskmelon	melon
eviscerate	melukis
lay off	memecat
robust	gagah
Down syndrome	sindrom Down
delta	delta
tub	bak
herder	gembala
field glass	teropong
incendiary	yang menimbulkan kerusuhan
thief	pencuri
ovary	ovarium
cowherd	koboi
tagged	memberi label
intransitive	intransitif
lugubrious	bersedih hati
pectin	pektin
quarrelsomeness	sifat suka berkelahi
specificity	kekhususan
triumvirate	triumvirat
lethal	membawa maut
Westminster Abbey	Westminster Abbey
Ovid	Ovid
epiphyte	epifit
borax	boraks
wedding ring	cincin kawin
rudiment	abjad
spoilt	busuk
galactic	galaktic
clip	mengepit
human right	hak asasi manusia
outlook	sikap
remember	ingat
save	simpan
canoe	perahu
soundness	kebijaksanaan
a little	agak
crabbed	galak
flip	menarik
Nicaragua	Nikaragua
elevated	suci
dejection	tahi
impeachment	tuduhan
fondle	membelai
snow-covered	yang ditutupi salju
tasty	enak
marinate	merendam
visa	visa
downpour	hujan deras
oxidization	oksidasi
castanets	alat musik
flying fish	ikan terbang
diction	diksi
astrocyte	astrosit
Kursk	Kursk
coder	pemrogram
inhibitor	inhibitor
continence	pertarakan
gametophyte	gametofit
Ankara	Ankara
crew	awak
rainstorm	badai
build	membangun
like	suka
replica	tiruan
loaded	banyak
discuss	diskusi
precipitation	cuaca
level	tingkat
Europe	Eropa
void	kosong
unworthy	cerdik
space	antariksa
topological space	jarak
flea	kutu
seafaring	dibuat utk perjalanan lautan
scrag	leher
leaven	ragi
vow	nazar
unfortunately	sayangnya
proximal	ini
infrequent	dengan sporadis
coupling	persetubuhan
revere	memuja
avoidance	keramat
hunchback	bungkuk
Echo	gema
tragic	tragis
lava	lava
birth certificate	akta kelahiran
anonymous	tanpa nama
pelvic	mengenai panggul
penguin	pinguin
magnetometer	pengukur magneto
funeral home	rumah mati
radio wave	penyinaran
water level	permukaan air
canter	meligas
alphabetical	alfabetis
trigonometric function	sinus
Bay of Biscay	Teluk Biscay
lithosphere	litosfer
optical disc	disk optik
scan	baca
journal	jurnal
purse	dompet
knocker	hantu
fierce	galak
curlicue	lingkaran
let in	memasukkan
miracle	keajaiban
upper side	atas
rusty	karat
blink of an eye	ketika
sicken	memberontak
Old Irish	Irlandia Kuno
orderliness	susunan
ballet	balet
let loose	mengatakan
foredoom	nasib
new moon	bulan baru
felt	terasa
dentate	bergigi tajam
animism	kafir
leaseholder	tuan tanah
eardrum	gendang telinga
nimbleness	kelincahan
industrialism	penekanan ekonomi industri
impoverish	memiskinkan
serpentine	berliku-liku
zigzag	berputar di dalam
louver	ram
Basseterre	Basseterre
antimatter	antimateri
word for word	verbatim
squall	angin topan
shoulder	bahu
kurta	kurta
pertain	kepunyaan
badly	sakit
boron	boron
yearning	idaman
stubborn	keras kepala
advert	iklan
Bangla	Bahasa Bengali
maintain	merawat
epidemic	wabah
Pisa	Pisa
resemblance	bentuk
get dressed	berpakaian
vacation	liburan
heath	rawa
executor	pelaksana
purr	dengkur
bracket	tanda kurung
theology	teologi
subtitle	subjudul
seismic	seismic
electrostatics	keelektrikan statik
kilt	kilt
self-help	bantuan diri
biographer	penulis biografi
extraordinarily	secara spektakuler
carpal	karpus
mountain bike	sepeda gunung
Nebraska	Cornhusker State
hydrogen sulfide	hidrogen sulfida
Abidjan	Abidjan
right	kanan
alien	asing
read	membaca
turn up	turun
arduous	berat
clean-handed	bersih
Republic of Equatorial Guinea	Guinea Khatulistiwa
stoop	bungkuk
plainly	pada dasarnya
accidentally	secara kebetulan
uplift	mabuk
sand	pasir
terse	ringkas
instead	kalau tidak
bravado	pongah
precarious	berbahaya
confound	mengelirukan
listen in	mendengar
painter	pelukis
cortex	kulit kayu
sobriquet	nama sindiran
overwork	mengeruk
dead end	jalan buntu
nincompoop	permainan kartu
decimal	desimal
architectural	secara ilmu bangunan
investor	investor
curmudgeon	orang pelit
cohabitation	hal kumpul kebo
northern lights	cahaya udara
eccentricity	perilaku aneh
incredulity	keragu-raguan
web page	laman internt
fertilization	pembuahan
pilferage	pencurian
oregano	pudina
Oxford	Oxford
Chamaeleon	Chamaeleon
excretion	ekskresi
aquatic	yang berhub dengan air
Kalamazoo	Amerika
Olympian	Athena
superlative	ban
seat	duduk
Belarus	Belarus
pronounce	putuskan
Angel Falls	bidadari
ill	sakit
affiliate	cabang
universe	alam semesta
despicable	hina
unhorse	jatuh
botch	kesalahan
devote	melakukan
set up	pasang
probable	mungkin
subscription	abonemen
tulip	tulip
mishmash	rojak
inauguration	pembukaan
diminution	potongan
gasp	mengembus
squint	sipit
amorous	penuh kasih
potbellied	gendut
pigtail	kuncir
indirect object	obyek tak langsung
encore	kembali naik panggung
cupcake	kue mangkok
Hera	Hera
jejunum	jejunum
yo-yo	yo-yo
ultimately	akhirnya
storm	badai
headrest	bantal
pragmatic	berguna
profitable	yang menguntungkan
call	panggil
contrary	di belakang
bunch	sisir
grandparent	kakek
gouge	cungkil
empower	memberikan
display	pamerkan
format	format
sadden	mengeluh
shellfish	kerang
public opinion	pendapat umum
spinach	bayam
physics	ilmu alam
Tokyo	Tokyo
emerald	zamrud
sacral	keramat
confirmation	isbat
idleness	idling
pilaster	pilar empat persegi
canoodle	mengubah sedikit
Gatling gun	Senapan Gatling
hagiography	hagiografi
Sunni	Sunni
Gujarat	Gujarat
Nagano	Nagano
San Antonio	San Antonio
Hypnos	Hipnos
carcinoma	kanser
cellulose	selulosa
centennial	abad
zenith	zenith
output	akibat
frothy	berbusa
lodge	tinggal
connect	kena
snack	makan
slender	langsing
naturalize	membina
misinform	menipu
accusingly	menuduh
igneous	berapi-api/pedas
prankster	penipu
foremost	pertama
American Samoa	Samoa Amerika
now and then	adakalanya
extrude	mengusir
ground forces	tentera
ornament	perhiasan
obloquy	fitnah
quartz	kuarsa
orator	pembicara
administrator	pegawai negeri
hermetic	kedap
evening star	bintang siang
partially	dengan kesenjangan
boiling	gembira sekali/subur
pyrometer	pengukur suhu tinggi
eloquence	kefasihan berpidato
clairvoyance	kewaskitaan
tactfully	secara elok
fall for	jatuh cinta
reuse	daur ulang
protist	protista
Boolean algebra	Aljabar Boolean
Vulgate	Vulgata
Irtysh	Sungai Irtysh
leopard cat	kucing kuwuk
spot	noda
clockwise	kanan
academic	pelajar
gobble	menyantap
floodgate	mata
prescribe	memerintah
wager	bertaruh
belittle	remeh
Stone Age	Zaman Batu
goad	hasut
grievance	dengki
lozenge	tablet
unconventional	sumbang
legendary	legendaris
vicar	pendeta
choreographer	penata tari
bendable	lentur
genealogist	ahli sil-silah keturunan
kidnapping	penculikan
hydrogen bomb	bom hidrogen
surgical	pembedahan
inertia	ketidakaktifan/kemalasan
ureter	saluran kencing
tabloid	tabloid
wreathe	melingkari
centripetal	sentripetal
hippodrome	hipodrom
Taliban	Taliban
Libreville	Libreville
White Sea	Laut Putih
Fortuna	Fortuna
albinism	albino
Saint George	George
Mach number	Mach
wrap	membungkus
thanks	terima kasih
fence	pagar
fault	kesalahan
chrysalis	kepompong
contradict	lawan
furtive	rahasia
departed	dalam damai
sublimate	membersihkan
fill out	mengelilingi
needy	miskin
communication	komunikasi
southerly	selatan
toil	penggunaan
paprika	paprika
staircase	tangga
caterpillar	ulat
curry	kari
foreground	menekankan
mellifluous	merdu
harvesting	panen
disobey	melanggar
ostler	losmen/kedai
minesweeper	kapal penyapu ranjau
ponytail	rasa gatal akibat kedinginan
definite article	kata sandang tentu
surrealism	surealisme
chlorophyll	klorofil
Minnesota	Gopher State
Dog Star	Sirius
hypothyroidism	hipotiroidisme
cyanosis	sianosis
elephantiasis	penyakit kaki gajah
standard of living	taraf hidup
blind spot	titik buta
Romanian	Romania
Alaska	Alaska
bump	benjol
ballpoint pen	bolpen
exemplar	contoh
foggy	kabur
net income	hasil kemenangan
reenact	mempersembahkan
microorganism	mikroorganisme
homogeneous	homogen
gas station	SPBU
sardonic	suram
phenomenon	fenomena
smallpox	cacar
mourning	sungkawa
trademark	ciri
meshwork	jala
ode	syair pujian
limitless	mahabesar
glottal	berhubungan celah suara
straggler	orang yang berjalan santai
streetcar	troli
game theory	teori permainan
Bologna	Bologna
sabbatical	sabatikal
Bihar	Bihar
cyst	kista
factorial	faktorial
thunderstorm	badai
rock	batu
word	kata
illuminate	bersinar
irrational	irasional
world	dunia
bearing	tingkah laku
clearly	jelas
Kobe	Kobe
windfall	keuntungan
irritate	jengkel
concentrate	perhatian
jib	menentang
vermilion	merah
shoreline	pantai
official	resmi
transition	transisi
imperfective	sedang
appendage	ahli
union	bawang
befuddle	bingung
ligature	tali
transplantation	pencangkokan
yelp	menyalak
breadfruit	sukun
freelance	pekerja bebas
satisfaction	kepuasan
gamma ray	penyinaran gamma
angstrom	angstrom
bladder cherry	lampion
locket	proyektil
first aid	pertolongan pertama
Pan	Pan
gesticulate	mengisyaratkan
make sense	menggunggung
legislative	legislatif
alluvium	aluvium
nucleolus	nukleolus
allergen	alergen
Ottoman	Usmaniyah
afterward	kemudian
whiz	bintang
blueing	biru
climate	iklim
energetic	lincah
concept	konsep
road	jalan
sub	kapal selam
skip	lewat
modulate	mengatur
electric organ	organ
Easter	Paskah
worsening	perubahan
average	tengah
beetroot	gula bit
grossly	amat
nobility	kemuliaan
dean	dekan
obstacle	halangan
theatrical	pertunjukan
Santa Claus	Sinterklas
desperation	putus asa
deodorant	deodoran
conservation	konservasi
dizziness	sempoyongan
lawrencium	lawrensium
coveted	iri hati/mendambakan
umbrage	sengaja menghina
clipboard	alas tulis
prism	prisma
productivity	produktivitas
genome	genom
guardian angel	malaikat pelindung
improvisation	improvisasi
final solution	Solusi Akhir
malt whisky	Scotch
Ming	Dinasti Ming
Dalian	Dairen
Stuttgart	Stuttgart
Sinai	Semenanjung Sinai
South China Sea	Laut Cina Selatan
Norman	Greg Norman
Ephesians	Efesus
set	himpunan
veer	membelokkan
capital	modal
farsighted	bijaksana
globe	Bumi
uncomplicated	jujur
entire	seluruh
squash	labu
fraud	menipu
pentagon	segi lima
about-face	memutar balik
prognosis	ramalan
omelette	telur dadar
Aristotle	Aristoteles
embezzlement	korupsi
entangle	membentak
infidelity	penghianatan
maize	jagung
bearable	dapat ditolerir
endurable	dapat tertahankan
candela	kandela
cruise ship	kapal pesiar
incompleteness	ketidaklengkapan
hypophysis	kelenjar pituitari
extempore	dengan tanpa persiapan
markedly	dengan mudah terlihat
privatize	menghilangkan hak kebangsaan
posh	segak
crosswalk	lintasan
bathymetry	batimetri
radio beacon	suar
aquamarine	akuamarin
Genesis	Kejadian
balance of payments	neraca pembayaran
Jutland	Jutlandia
candlelight	cahaya lilin
otolaryngology	otolaringologi
evangelize	baptis sso
Kurdistan	Armenia
benison	berkah
barn owl	burung hantu
goodbye	selamat jalan
briefs	celana dalam
obligation	utang
shogun	syogun
DPRK	Korea Utara
slick	licik
exanimate	mati
testify	beri tahu
succeed	berhasil
reassuring	menenangkan
resistant	tahan
clarify	terangkan
blight	hawar
cousin	sepupu
pedagogy	pedagogi
retirement	undur
yob	orang kasar
birthright	warisan
personification	personifikasi
tracker	pemburu binatang
sensor	sensor
orangeade	sari jeruk
nucleon	nuldeon
glimpse	mengintip
migratory	penghijrahan
immune system	imunitas
Honiara	Honiara
malabsorption	malabsorpsi
worry	kuatir
stoplight	rambu lalu lintas
merry	gembira
emerging	giat
fallen	gugur
estimate	menaksir
sew	jahit
of course	tentu
Black Sea	Laut Hitam
blowhole	lubang
betide	menjadi
ejaculate	benih
well-read	ilmiah
strong point	keunggulan
unit	satuan
professor	profesor
microphone	mikrofon
stepmother	ibu tiri
capitalist	pemodal
capitalism	kapitalisme
dockworker	buruh galangan kapal
mustard	moster
unbeliever	kafir
pasha	pasha
pensioner	pensiunan
hearse	kereta jenazah
observatory	observatorium
probity	kejujuran
silviculture	ilmu kehutanan
horoscope	primbon
racquet	raket
cherub	malaikat serubin
calibrate	menentukan skala termometer
affricate	afrikat
dill	dil
Alma-Ata	Alma-Ata
adulator	pemuji
Ahab	Ahab
cumulonimbus	kumulonimbus
tornado	tornado
mountain	gunung
dyke	benteng
folk	rakyat
Guinea	Guinea
grandiose	hebat
clash	lawan
poverty	kemiskinan
gran	nenek
vestibule	ruangan
stigma	belalai
bedspread	sprei sarung bantal
gay	gembira
Tierra del Fuego	Tierra del Fuego
Old Norse	Norse Kuno
self-interest	komoditas
carver	pemahat kayu
shale	syal
brotherhood	persaudaraan
stash	menumpukkan
Semarang	Semarang
astatine	astatin
islander	penduduk pulau
coeducation	pendidikan campur
ermine	cerpelai
fornix	gundukan tanah
