explanation	yorum
champaign	kır
gumshoe	hafiye
desensitize	hassasiyetini azaltmak
Stratford-on-Avon	İngiltere
chili	kırmızı biber
preservative	koruyucu şey
mandarin	mandalina
consolable	tesellisi mümkün
haploid	haploid
Zambian	Zambiya
Khabarovsk	Habarovsk
Mauser	Mauser
atmospheric pressure	atmosfer basıncı
Marathi	Marathi
insane	deli
respect	hürmet
sign	işaret
antler	geyik boynuzu
unconcerned	alâkasız
permit	müsaade etmek
employee	çalışan
binding	bağlama
brutality	gaddarlık
kettle	çaydanlık
species	tür
playful	oyunbaz
germinate	filizlenmek
graph	grafik
unseaworthy	denize çıkmaya elverişsiz
teaching	öğretim
toupee	eğreti tepe saçı
petticoat	iç etek
malefactor	günahkar
goldfish	havuz balığı
detonation	patlama
bayonet	süngü
casket	tabut
erasure	kusur
seraph	melek
ultraviolet	morötesi
pullet	piliç
propane	propan
prewar	savaş öncesi
firmly	sımsıkı
cyme	talkım
viz.	yani
ladyfinger	yüksükotu
Bering Sea	Bering Denizi
Manichaeism	Hristiyan
castration	yumuşatma
applied mathematics	uygulamalı matematik
collateral	yardımcı malzemeler
chisel	keski
sharpen	bilemek
pound	libre
varlet	alçak adam
purchase	satın alma
clef	anahtar
cotter	anahtar
soccer	futbol
haywire	bozuk
tonsil	bademcik
neck	boyun
hood	başlık
watchman	bekçi
get on	binmek
width	genişlik
laddie	delikanlı
changeover	değiştirme
crankcase	dirsekli kol mahfazası
exclusion	ihraç
mop	paspas
fellah	fellahs
photograph	fotoğraf
semiotic	göstergebilim
entertainer	gösterici
bear witness	göstermek
homosexuality	eşcinsellik
conservatory	limonluk
processing	işlem
contraband	kaçakçılık
womanhood	kadınlık
payroll	maaşlann toplamı
Malawi	Malavi
epitaph	mezar kitabesi
ontology	ontoloji
Chilean	Şilili
bicarbonate	soda
Hadrian	Hadrian
Las Vegas	Las Vegas
transitive verb	geçişli fiil
nearby	yakinda
stew	endişe
accumulation	birikme
leveret	aylık tavşan
independent	bağımsız
clamp	bağlamak
glad	sevinçli
balcony	balkon
headband	bant
shelter	siper
enrich	gübrelemek
pentahedron	beşyüzlü
soften	yumuşatmak
querulous	bir şeyi beğenmez
supplement	ek
mouse	fare
trench	hendek
navigate	denizcilik
alga	alg
rivulet	dere
attentive	dikkatli
circuitous	dolaylı
rationally	epey
finance	maliye
agaric	katran köpüğü
spheroid	küremsi cisim
bluefish	lüfer
psychometry	psikometri
Rhodes	Rodos
troika	üçlü
pretending	yalandan inanma
catch up	yetişmek
stressed	yıpranmış
Amur	Amur
Ordovician	Ordovisyen
Liechtenstein	Lihtenştayn
Kingston	Kingston
solar constant	güneş sabiti
tutorial	öğretici başlangıç
xenotransplantation	zenotransplantasyon
four-stroke engine	4 zamanlı motor
neckless	boğazsız
say	söylemek
inoculate	aşılama
fatherhood	babalık
simplify	kolaylaştırmak
cold	soğuk
pummel	çarpmak
berry	çilek
cirque	daire şeklindeki alan
hush	sessizlik
clinical	klinik
garment	elbise
relieve	kurtarmak
desperado	gözü dönmüş haydut
starter	meze
creative	yaratıcı
cure-all	her derde deva
encrust	kabuk bağlamak
defiance	meydan okuma
trustee	mutemet
flotilla	küçük filo
samarium	samaryum
concuss	sarsmak
diaphanous	şeffaf
disarmament	silahsızlanma
cruet	sişe
telekinesis	telekinezi
workbench	tezgah
kike	Yahudi
summertime	yazın
Yugoslavian	Yugoslav
transliteration	başka alfabeyle yazma
dongle	donanım kilidi
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Chickasaw	Chickasaw
Quebec City	Quebec
Vandal	vandal
American robin	Amerika nar bülbülü
alert	alarm
orifice	delik
Ararat	Ağrı Dağı
bring	getirmek
generosity	cömertlik
guess	tahmin
worm	kurt
brood	civciv kuşyavrusu
shameful	ayıp
bleat	melemek
simplification	basitleştirme
celibacy	bekarlık
bruise	morartı
scientific	bilimsel
savor	çeşni
polygamy	poligami
hitherto	o ana kadar
sycophant	dalkavuk
full moon	dolunay
germ cell	gamet
admissible	kabul olunabilir
Madagascar	Madagaskar
Freemasonry	Masonluk
fighter	dövüşçü
rucksack	arka çantası
fried egg	sahanda yumurta
baptismal	vaftiz
Mary Magdalene	Maria Magdalena
Excalibur	Ekskalibu
Holy Roman Empire	Kutsal Roma Cermen İmparatorluğu
Nagasaki	Nagasaki
red-breasted merganser	tarakdiş
Honolulu	Honolulu
addition reaction	ekleme tepkimesi
central nervous system	merkezî sinir sistemi
homelessness	evsizlik
Carboniferous	Karbonifer
overseas	yurt dışında
blear	çapaklı
bail	halka
dash	dokunuş
ice	buz
color	renk
homological	benzer
ranch	büyük çiftliğin binaları
enliven	canlandırmak
dwarfism	cücelik
back street	dar sokak
right angle	dik açı
equipage	teçhizat
homograph	eş sesli
devilment	şeytanlık
galosh	galoş
collaborationist	işbirlikçi
decorticate	kabuğunu soymak
kangaroo	kanguru
metronome	metronom
categorization	sınıflandırma
sine	sinüs
monosyllabic	tek heceli
rerun	tekrar çalıştırmak
artilleryman	topçu
Republic of Uganda	Uganda Cumhuriyeti
Colorado	Colorado
Saxony	Saksonya
Canis Minor	Küçük Köpek
urologist	ürolog
tritium	trityum
workstation	iş istasyonu
dead language	ölü dil
ethics	etik
lawyer	avukat
unfurl	gerilmek
woebegone	acılı
sit	oturmak
depression	depresyon
buck	tavşan
Leipzig	Leipzig
student	öğrenci
arpeggio	arpej
except	hariç
verse	ayet
bonnet	kapak
pennon	bayrak
shear	kırkmak
copious	bol
edentate	dişsiz
poinsettia	Atatürk çiçeği
zap	enerji
centurion	eski Roma’da yüzbaşı
formula	formül
governance	yönetim
Alexandria	İskenderiye
gory	ürpertici
headquarters	karargâh
penitent	pişman
cruiser	kruvazör
reindeer	ren geyiği
ripen	olgunlaşmak
robot	robot
vizier	vezir
hallucination	sanrı
taxonomy	taksonomi
eversion	ters dönme
wallaby	vallabiç
Versailles	Versay
Western Australia	Batı Avustralya
jet-black	koyu siyah
Latinize	Latinleştirmek
pillow fight	yastık savaşı
embonpoint	dolgunluk
buddy	ahbap
marrow	ilik
tantrum	aksilik
aquarium	akvaryum
banter	takılmak
offer	teklif
suitor	aşık
cutback	azalma
aconite	kurtboğan
bombardment	bombardıman
growing	büyüyen
sawbones	cerrah
whiff	esinti
honorable	itibarlı
purple	mor
regent	emir
Jupiter	Jüpiter
filbert	fındık
tourer	gezgin
rhetorician	hatip
spelling	yazım
secant	sekant
soffit	taban
synod	kilise meclisi
rubella	kızamıkçık
butter	tereyağı
Nepal	Nepal
skate	kaykay yapmak
spitz	Pomeranya köpeği
predestine	yöneltmek
Santo Domingo	Santo Domingo
marshmallow	hatmi
absorber	soğurucu
old man	yaşlı erkek
glamorize	aşırı süslemek
shag	sevişmek
chute	paraşüt
peachy	âlâ
circus	sirk
dimension	boyut
earth	toprak
indoctrinate	telkin etmek
Achilles tendon	Aşil tendonu
sperm	sperm
secede	çekilmek
kidney bean	barbunya
exploit	kahramanlık
macabre	korkunç
luckily	çok şükür
hue	renk
pigment	boya maddesi
guerrilla	gerilla
diploid	diploit
polish	lehçe
Advent	Advent
accused	davalı
offering	kurban
cartridge	mühimmat
catwalk	iskele
humerus	humerus
culpable	suçlu
Lusaka	Kuzey Rodezya’nın başşehri
swatch	mostra
Yule	Noel
deathbed	ölüm döşeği
check in	oturmak
salivary	salya
centimetre	santimetre
extradite	sürgün etmek
ecosystem	ekosistem
Elam	Elam İmparatorluğu
Michigan	Michigan
electromagnetism	elektromanyetizma
telephone	telefon
solemnity	ciddiyet
irony	alay
intern	stajer
operational	ameli
chimney	baca
swim	yüzmek
chintz	basma
brutish	bedensel
civet	bir çeşit misk
incomparable	emsalsiz
lye	boğada suyu
hereby	bundan dolayı
react	tepkimek
swap	finansal alışveriş
phrenic	diyaframa ait
zephyr	meltem
sunbathe	güneşlenmek
imprisonment	hapsetme
pincushion	iğnedenlik
calla	kallâ zambağı
concerto	konçerto
creator	kurucu
bookkeeper	muhasebeci
shrug	omuz silkme
Rhenish	Ren şarabı
good luck	iyi şanslar
saline	tuzlu
anxiolytic	yatıştırıcı
Karelia	Karelya
plantigrade	tabanına basarak yürüyen hayvan
austerely	sert bir biçimde
decaf	kafeinsiz içecek
parenthood	ebeveynlik
theodicy	teodise
illumination	aydınlanma
rule	kural
cue	isteka
point of view	görüş
flamboyant	parlak
sergeant	çavuş
weed	yabani ot
printer	yazıcı
morrow	sabah
complexion	cilt
synergetic	beraber çalışan
husky	boğuk
borscht	borç
clop	böyle ses çıkarmak
steam engine	buhar makinesi
courageously	cesurca
caster	dökümcü
incapable	ehliyetsiz
pfennig	fenik
regurgitate	kusturmak
butt hinge	gözkapağı
sun	güneş
hairy	kıllı
Hezbollah	Hizbullah
hormone	hormon
rappel	iple iniş
foist	sokuşturmak
eared	kulaklı
slipper	terlik
hatmaker	şapkacı
withe	saz
Sofia	Sofya
Normandy	Normandiya
oscillogram	ekran görüntüsü
pathogen	patojen
clockwork	saat mekanizması
colonization	sömürge kurma
incinerator	yakma fırını
tequila	tekila
never again	birdaha asla
phycology	fikoloji
acrophobia	akrofobi
oligopoly	oligopoli
splay	acayip
accent	vurgu
dirty	kirli
nuts	deli
supply	arz
satellite	uydu
bacterial	bakteri
accurate	kesin
forego	bitmek
resurrection	yeniden dirilme
tyrant	tiran
lionhearted	cesur
raceme	çiçek salkımı
catchword	parola slogan
qualification	vasıf
rectangle	dikdörtgen
deaden	donuklaştırmak
migration	göç
southeasterly	güneydoğu
comely	güzel
epitome	özet
cardiac	kalbe ait
mother-in-law	kaynana
clavichord	klavsen
Lycia	Likya
leukemia	lösemi
shilling	şilin
Sierra Leone	Sierra Leone
upload	karşıya yükleme
West Virginia	West Virginia
decompress	basıncı azaltma
omnipresent	her zaman her yerde var olan
cock-and-bull story	kocakarı masalı
upper limit	üst hudut
tag	etiket
clever	zeki
OK	onay
lily	zambak
banish	sürgün
commemoration	anma
domicile	apartman dairesi
rectify	düzeltmek
ordinal	sıral sayı
grand	büyük
pub	birahane
pacifier	emzik
gonorrhea	belsoğukluğu
fertility	doğum oranı
combined	birleşik
interstice	boşluk
chanterelle	horozmantarı
strappado	bu şekilde cezalandırmak
wake up	uyanmak
sexual harassment	cinsel taciz
wavelet	dalgacık
sill	denizlik
clean up	derleme
philosophy	felsefe
recharge	doldurmak
Terpsichore	Terpsikhore
append	eklemek
old woman	yaşlı kadın
ocular	göze ait
silver	gümüş
baboon	şebek
cram	tıkınmak
fallible	hata ederek
aeronautical	aeronotik
volley	küfür savurma
proprietor	sahip
onomatopoetic	sesleri yansılayan
featherweight	tüy siklet
cooking oil	yemeklik sıvı yağ
swine flu	domuz gribi
Punjabi	Pencapça
bashful	ürkek
come	gelmek
script	yazı
impediment	engel
footboard	ayak dayayacak yer
sleep	uyumak
grandeur	ihtişam
converge	yakınsamak
infringement	ihlâl
volatile	uçucu
magnifying glass	büyüteç
hardship	eziyet
peripheral	çevresel
plowboy	çiftçi yamağı
sacrosanct	dokunulmaz
demijohn	damacan
inspector	müfettiş
dingle	derecik
ectoplasm	dışplazma
dithyramb	ditiramp
palm reading	el falı
respectable	saygıdeğer
spousal	evlenme
Colombo	Kolombo
cone	koni
unprotected	korunmasız
prefix	ön ek
middle ear	kulak zarı
mackerel	uskumru
rejection	red
jamb	süve
air gun	tüfek
shyness	utangaçlık
willowy	uzun boylu
Kara Sea	Kara Denizi
digestive system	sindirim sistemi
city council	belediye başkanlığı
body hair	vücut kılı
pretty	güzel
lurid	adi
flaw	kusur
plaintive	acıklı
rich	zengin
conformity	uygunluk
scum	alçak
nether	alt
subspecies	alt tür
disgrace	gözden düşme
saunter	avare avare dolaşmak
detail	ayrıntı
lead astray	baştan çıkarmak
watchtower	gözlem kulesi
knee	diz
bulldog	buldok
hilt	kabza
glaze	sır cila
garbage can	çöp tenekesi
milt	dalak
paralytic	kötürüm
shining	parlak
hypotenuse	hipotenüs
pawl	ırgat kastanyolası
tracer	izleme
tench	kadife balığı
redbreast	kızılgerdan
defenseless	korunmasız
suds	köpük
earthbound	maddi
criminality	suçluluk
terrorism	terörizm
harpist	harpçi
Marrakech	Marakeş
floppy	disket kullanarak
Kura	Kura
monogram	monogram
escapism	gerçeklerden kaçma
absolutely	büsbütün
item	madde
stumble	hata
inhibit	tutmak
Aachen	Aachen
continuous	devamlı
poise	hakimiyet
atrium	atriyum
impractical	beceriksiz
fabric	kumaş
equilibrate	denkleştirmek
flan	börek
pottery	çömlekçilik
scaffold	darağacı
revolving door	döner kapı
quadruped	dört ayaklı
watchword	düstur
router	yönlendirici
firecracker	havai fişek
everywhere	her yerde
urinate	işemek
binomial	iki terimli
silkworm	ipek böceği
messiah	kurtarıcı
linseed	keten
coke	kokain
outfox	kurnazlık etmek
tailless	kuyruksuz
Roman Empire	Roma İmparatorluğu
hairdo	saç şekli
wanderlust	seyahat tutkusu
figwort	sıracaotu
incorrectly	yanlışlıkla
bill of lading	konşimento
reification	maddeleştirme
laconism	özlü anlatım
awning	tente
avow	itiraf etmek
allergy	alerji
hit	vurmak
resentment	içerleme
cheer	neşelendirmek
archaeologist	arkeolog
true	gerçek
safari	av partisi
economic	idareli
multifarious	birçok
harass	tedirgin etmek rahat vermemek
galoot	borular
subservience	boyun eğme
lace	dantel
prickle	diken
postnatal	doğumdan sonra
handcar	drezin
thunderclap	gök gürlemesi
unhinge	huzurunu kaçırmak
hereditary	kalıtsal
rape	tecavüz
stannic	kalay cinsinden
toff	kibar adam
fistula	fistül
vainglorious	mağrur
syllabus	müfredat
paraffin	parafin
decagon	ongen
chauffeur	şoför
roughness	pürüzlülük
historian	tarihçi
torte	turta
Washington	Washington
Havana	Havana
angiosperm	kapalı tohumlu
twenty-fifth	yirmi beşinci
wigeon	fiyu
ubiquitous	her yerde birden bulunan
ludicrous	güldürücü
free	serbest
languid	ağır
curb	engel
magnitude	büyüklük
aria	arya
lieutenant junior grade	asteğmen
beadle	bir kilise görevlisi
Brittany	Brittany
coercion	cebir
electronics	elektronik
circumnavigate	etrafını dolaşmak
bakery	fırın
demo	gösterme
honeysuckle	hanımeli
omnivorous	her seyi yiyen
propel	itmek
kidnap	kaçırmak
mistral	karayel
tarp	katranlı muşamba tente
intercontinental	kıtalararası
Northern Marianas	Kuzey Mariana Adaları
luxurious	lüks
cheese	peynir
psychotherapy	psikoterapi
vintner	şarap tüccarı
Commonwealth of Independent States	Bağımsız Devletler Topluluğu
sycophantic	yaltakçı
papyrus	papirüs
Bern	Bern
Monte Carlo	Monte Carlo
coordinator	koordinatör
quantize	nicemlemek
pasteurisation	pastörize etme
weigher	tartıcı
repurchase	yeniden satın alma
lipophilic	lipofil
Io	Io
denatured alcohol	renkli ispirto
pejorative	aşağılayıcı
devise	tasarlamak
recipient	alıcı
bulb	yumrubaş
intentionally	anlayışla
anode	anot
accompany	eşlik etmek
chiefly	asıl
moderation	ılımlılık
burglary	hırsızlık
hog	domuz
paper	kâğıt
execute	idam etmek
muster	geçmek
softball	softbol
someday	bir gün
liability	borç
blare	boru sesi
tome	cilt
ignoramus	cahil
frequently	sık
camel	deve
descendent	düşen
supreme	ulu
sect	mezhep
posterior	sonraki
inlet	giriş
Galilean	Hazreti İsa
Yokohama	Yokohama
calcium	kalsiyum
vendetta	kan davası
papal	Katolik kilisesine ait
knock off	kesmek
chrome	krom
GB	GB
Nemesis	Nemesis
biochemist	biyokimyacı
bitter orange	turunç
systems analyst	sistem çözümleyici
paranoid	paranoya ile ilgili
black ice	donmuş kırağı
encompass	kuşatmak
go down	düşmek
nature	tabiat
crossroad	kavşak
apostrophize	asılmak
ague	ateş
footwear	ayakkabı
unpleasant	tatsız
einsteinium	aynştaynyum
dancer	dansçı
computing	bilişim bilimi
spoliation	soygun
coffee	kahve
dualism	düalizm
electrical energy	elektrik
vulgarian	görgüsüz kimse
elegant	zarif
ideogram	ideogram
playing card	iskambil kağıdı
cilantro	kişniş
defeated	mağlup
all fours	maymun
courteously	nazikçe
diva	primadonna
Protestant	Protestan
comfy	rahat
watchmaker	saatçi
fistfight	yumrukla dövüş
Indian Ocean	Hint Okyanusu
minimalism	minimalizm
junk mail	önemsiz e-posta
ion	iyon
idle	aylak
wooded	ağaçlık
excellent	mükemmel
flare	parlama
train	tren
status	durum
terrible	korkunç
firefly	ateş böceği
salience	dikkati çekme
Commonwealth of Australia	Avustralya Uluslar Topluluğu
rarely	seyrek
flavoring	baharat
chairman	reis
expect	beklemek
senility	bunaklık
circulate	dağıtmak
undecipherable	çözülemeyen
perspective	perspektif
tense	zaman
transportation	ulaştırma
bandolier	fişeklik
toad	kurbağa
radiation	radyasyon
get up	kalkmak
caraway	Karaman kimyonu
heir	mirasçı
Thursday	perşembe
bishopric	piskoposluk
polypetalous	polipetal
Edinburgh	Edinburgh
Carib	Carib
Zaragoza	Zaragoza
Ganymede	Ganymede
Wahhabism	Vehhabilik
Shinto	Şinto
Lincoln	Lincoln
featured	vasıflı
monotreme	tek delikli
galactose	galaktoz
doubt	şüphelenmek
declare	bildirmek
male	erkek
convention	kongre
hatch	kaporta
sportswoman	atlet
prude	bağnaz
nanny	dadı
mallet	balyoz
corvette	korvet
quench	söndürmek
assertion	beyan
tinker	tamirci
diver	dalgıç
excoriate	sıyrılma
decimetre	desimetre
redress	doğrultmak
stratum	katman
wench	kız
celestial	kutsal
skillfulness	güzellik
songster	hanende
classy	kibar
hypocrisy	ikiyüzlülük
make off	kaybolmak
narthex	kiliselerde dış dehliz
scorched	kurutulmuş
piquet	piket
novelist	romancı
eccentrically	tuhaf
apatite	apatit
Paramaribo	Paramaribo
submerged	daldırılmış
trailing edge	art kenar
alpine	alpler ile ilgili
posthumous	ölümünden sonra yayınlanan
wapiti	kanada geyiği
pluck	toplamak
preposterous	inanılmaz
signature	imza
important	önemli
mouthful	lokma
fret	üzmek rahatsız etmek
forecast	tahmin
prognosticate	belirtisi olmak
theater	tiyatro
hound	köpek
at a time	anında
quinsy	anjin
ma	anne
grant	bağışlamak
corollary	sonuç
White Russia	Beyaz Rusya
obedience	itaat
speculate	düşünmek
shoat	çelik çomak oyunu
loquacious	çeneli
far	uzak
mountainous	dağlık
gorgeous	debdebeli
ambergris	amber
saddlebow	eyer kaşı
harem	harem
profession	meslek
landing gear	iniş takımı
sabra	israil yerlisi
headphone	kulaklık
pylorus	mide kapısı
chickpea	nohut
Tuesday	salı
adaptable	uyumlu
badminton	badminton
invader	istilacı
probability theory	olasılık kuramı
waxen	mumlu
peninsular	yarımada şeklinde
nonaligned	cinsiyet organı olmayan
invulnerability	delinememe
insured	sigortalı
adapt	uyarlamak
sell	satmak
bang	patlama
residue	artık
induce	indüklemek
cathartic	bağırsakları temizleyici
inch	inç
anticipation	sezinleme
silverweed	beşparmakotu
listless	bezgin
boric	borik
utility	fayda
valour	cesaret
negotiation	görüşme
democracy	demokrasi
panic	panik
vim	kuvvet
instinctively	doğal olarak
saturation	doygunluk
world war	dünya savaşı
brake	fren
necessity	ihtiyaç
refusal	red
eyetooth	göz dişi
grayish	grimsi
mirage	serap
blackness	karalık
junior	küçük
microcosm	mikrokozmos
cubical	küp şeklinde
metal	metal
median	medyan
watt	watt
yashmak	yaşmak
Syracuse	Siraküza
San Francisco	San Francisco
skateboard	kaykay
dengue fever	dang humması
east by south	gündoğusu kerte keşişleme
senseless	saçma
poster	afiş
amusement	eğlence
tergiversate	aldırmamak
hypo	alt
haughty	kibirli
impassable	geçilmez
flatworm	at solucanı
smirch	ayıp
especially	özellikle
variably	ayrı
reconcilable	barıştırılmaları mümkün
premiere	prömiyer
son	oğul
sleek	şık
taw	bilye
vat	tekne
catching	bulaşıcı
rhinitis	burun iltihabı
cheque	çek
breed	ırk
massif	sıradağ
civility	nezaket
trajectory	yörünge
attributive	evvelki
wrathfully	fena
centime	frankın yüzde biri
propeller	pervane
promiscuity	karmakarışıklık
valerian	kedi otu
cube	küp
Satan	Şeytan
figurative	mecazi
Grenadian	nar şurubu
prosody	vezin
fingertip	parmak ucu
pyromania	piromani
Sri Lanka	Sri Lanka
hacksaw	vargel testere
Barcelona	Barselona
great black-backed gull	büyük kara sırtlı martı
Rigel	Rigel
altitude	yükseklik
disinter	açığa çıkarmak
pupil	gözbebeği
common	genel
beech	kayın
antenna	anten
itch	kaşınma
meticulosity	aşırı titizlik
quell	bitirmek
shaky	sarsak
trumpet	trompet
steppe	bozkır
carton	kutu
ugly	çirkin
colliery	çukur
parity	eşlik
magenta	majenta
belated	gecikmiş
retrospective	geriye dönük
at random	rasgele
potion	iksir
leash	tasma kayışı
fiddler	kemancı
derriere	kıç
cutlet	kotlet
cottage	kulübe
user-friendly	kullanımı kolay
Medina	Medine
Lower Saxony	Niedersachsen
platter	plak
high society	sosyete
veranda	veranda
lieutenant colonel	yarbay
rumba	rumba
tragicomic	trajikomik
profiling	profil çıkarma
Markov process	Markov süreci
Senegalese	Senegalli
music box	müzik kutusu
philatelist	pul koleksiyoncusu
iron maiden	demir bakire
symmetry	simetri
red blood cell	alyuvar
difference	fark
extremist	müfrit
heave	kaldırmak
dissident	muhalif
vertigo	baş döndürücü
vagueness	belirsizlik
bacon	domuz pastırması
masticate	çiğnemek
milldam	değirmen barajı
bellicose	dövüşken
acidulate	eksice
palmistry	el falı
prescription	reçete
filament	filaman
shovel	kürek
austere	haşinlik
Yellowknife	Yellowknife
railing	kapı
Republic of Madagascar	Madagaskar Cumhuriyeti
semicolon	noktalı virgül
mullein	Sığırkuyruğu
viaduct	viyadük
exude	salgılanmak
vermouth	vermut
bottle opener	açacak
vandalism	vandallık
Islamophobia	İslamofobi
Bujumbura	Bujumbura
hypotension	hipotansiyon
Christchurch	Christchurch
ionosphere	iyonosfer
quality control	kalite kontrol
intoxication	sarhoş hali
arboreal	ağaçsı
baryon	baryon
mouthpiece	ağızlık
sheet	çarşaf
drool	saçmalamak
treachery	hainlik
unexpected	beklenmedik
pressure	basınç
albedo	yansıtabilirlik
style	üslup
erudition	alimlik
fusion	füzyon
surroundings	çevre
zip fastener	fermuar
loath	isteksiz
metaphor	mecaz
grating	ızgara
bootee	kadın botu
goldfinch	saka kuşu
canto	kıta
perfumed	kokulu
spermatozoon	meni
scallop	Pecten
rhenium	renyum
peony	şakayık
Siberia	Sibirya
Paul	sırık
excitation	uyarılma
hydrochloride	tuzruhu
Hausa	Hausa
Valhalla	Valhalla
Selene	Selene
susceptibility	suseptibilite
ice skating	buz pateni yapma
buried	gömülü
assault rifle	piyade Tüfeği
Ezra	Üzeyir
merlin	boz doğan
evidently	açık olarak
diaphragm	diyafram
pivot	topuk demiri
daring	cesur
horsehair	at kılı
rosary	tespih
Bosnia and Herzegovina	Bosna-Hersek
condensation	özet
incense	tütsü
ice-cold	buz gibi
charisma	karizma
aide	muavin
mute	dilsiz
refresh	yenilemek
coprophagy	dışkı yeme
disappointment	hüsran
commentator	yorumcu
trebuchet	mancınık
ailment	hastalık
caution	ikaz etmek
operating system	işletim sistemi
reveille	kalk borusu
galbanum	kasnı
coriander	kişniş
silt	mil
offside	ofsayt
yellowhammer	sarı kiraz kuşu
lactic	süt
recurrent	tekrarlayan
ferocity	vahşet
snakebite	yılan ısırması
Nunavut	Nunavut
Cerberus	Kerberos
Tiberius	Tiberius
chain mail	örme zincir
tongue	dil
gravity	kütle çekimi
protect	korumak
deceive	aldatmak
coat	palto
soldiery	askerler
disparity	eşitsizlik
primacy	papalık
caracal	karakulak
fulfill	yerine getirmek yapmak
bomber	bombardıman uçağı
puddle	gölet
tyre	lastik
outskirts	civar
pediatrician	çocuk doktoru
turning	dönme
hydrogen	hidrojen
sounder	iskandil
intramuscular	kasın içine zerkedilen
tin can	kutu
hydrangea	ortanca
backbencher	parlamento üyesi
vitrify	perdahlamak
power point	priz
soap dish	sabunluk
cyclotron	siklotron
saucepan	tencere
enforcement	zorlama
Andes	And Dağları
grade crossing	hemzemin geçit
focal length	odaklama
entropy	entropi
thermistor	ısıl direnç
frequency modulation	frekans kiplenimi
Tanzanian	Tanzanyalı
indulge	kendini vermek
flurry	ani rüzgar sağanak
sarcasm	istihza
stanch	akmasını önlemek
dramatically	aniden
storyteller	yalancı
hunter	avcı
pulsate	atmak
factory	fabrika
inseparable	ayrılmaz
similarity	benzerlik
songwriter	besteci
rider	binici
borate	borat
adolescent	genç
epoch	çağ
Jakarta	Cakarta
unsaturated	doymamış
epithelium	epitel
parthenogenesis	partenogenez
pond	gölet
basswood	ıhlamur
politesse	incelik
rung	parmaklık
cursed	lanetli
lemon	limon
turban	türban
tacitly	sessizce
Dallas	Dallas
Tucana	Tukan
firmware	donanım yazılımı
weatherman	meteoroloji uzmanı
atavistic	atalara çeken
Namibian	Namibyalı
pedophilia	pedofili
New Zealand dollar	Yeni Zelanda doları
heal	iyileşmek
boom	bumba
maple	akçaağaç
equipment	ekipman
confiscate	haczetmek
motherhood	analık
truce	ateşkes
aid	yardım
fanatic	bağnaz
tenure	ayrıcalık
perform	yapmak
peacetime	barış
basalt	bazalt
weevil	kurtlu
wring	sıkıştırmak
pavilion	köşk
adolescence	adolesan
flay	yüzmek
dissemination	dağılma
no	hayır
delegacy	delegasyon
diploma	diploma
ivory	fildişi
spay	hadım etmek
air hostess	hostes
legislation	yasama
bedpost	karyola direği
fragmentation	parçalanma
Tripoli	Trablus
withhold	tutmak
roundworm	yuvarlak kurt
gyrfalcon	akdoğan
third party	üçüncü kişi
Fatima	Fatma
hypernym	üstanlamlı
lower limit	alt hudut
refine	arıtmak
promotion	terfi
ceremony	seremoni
proper	düzgün
duck	ördek
nobleman	aristokrat
slightly	azıcık
scruple	tereddüt
ooze	bataklık
orgasm	orgazm
evaporate	buharlaştırmak
suspender	çorap jartiyeri
vassal	kölelik
confess	itiraf etmek
Ephesus	Efes
working class	işçi sınıfı
cosmology	kozmoloji
streamer	serpantin
buster	ulan
inwards	içeriye doğru
Reykjavik	Reykjavík
courtship	kur yapma
freemasonry	masonluk
hertz	hertz
southpaw	solak
cellist	viyolonsel çalan kimse
curry favor	yaltaklanmak
Eridanus	Irmak
Gulf of Riga	Riga Körfezi
Jolly Roger	Jolly Roger
ex-husband	eski koca
monosaccharide	monosakkarit
head louse	baş biti
Sivan	sivan
Kazakh	Kazakça
Turkmenistan	Türkmenistan
awry	eğri yan ters
harvest	hasat
occasionally	bazan
demarcate	ayırmak
malachite	malakit
lone	bekâr
fed up	bezgin
tint	hafif renk
murmur	mırıldanma
adultery	zina
awaken	uyandırmak
declension	çekim
polygonal	çokgen
antenatal	doğumdan evvel olan
Quezon City	Filipinler
Finland	Finlandiya
Euphrates	Fırat
truncate	tepesi kesik
anile	kocakarı gibi bunamış
easiness	kolaylık
handkerchief	mendil
Montserrat	Montserrat
absolutist	mutlakıyetci
episcopate	piskoposluk
streetlight	sokak lambası
spiracle	solunum deliği
taxi	taksi
seven	yedi
sailcloth	yelken bezi
analog	analog
Conservative	Klasik
Neva	Neva Nehri
Volans	Uçanbalık
Ethiopian	Etiyopyalı
inevitably	ille de
provider	ihtiyacı karşılayan
aliphatic	alifatik
Sinhalese	Sinhalca
fawn	açık kahcerengi
undo	geri almak
incredible	inanılmaz
expedient	münasip
field	alan
centenary	asır
chew out	azarlamak
bathometer	batometre
Ghent	Gent
balm	merhem
retire	çekilmek
combat	savaşmak
decant	boşaltma
shroud	kefen
rice paddy	çeltik tarlası
reckless	kayıtsız
critique	eleştiri
prow	pruva
privacy	gizlilik
google	googlelamak
conference	konferans
calorie	kalori
perch	tünemek
scissor	makasla kesmek
croon	mırıldanmak
songbook	şarkı kitabı
cinnamon	tarçın
Minsk	Minsk
bookmark	yer işareti
domain name	etki alanı adı
syncretism	senkretizm
Austin	Austin
stratus	katman bulut
diagonal matrix	köşegen matris
Monacan	Monakolu
beefcake	kas yumağı
concomitant	eşlik eden
uncommon	nadir
liberal	liberal
